INPUT:story_a	INPUT:story_b	INPUT:ending_a	INPUT:ending_b	INPUT:system_a	INPUT:system_b	INPUT:content_plan_id
A young girl in the year 2030 wakes up one morning to find herself transported to the year 1985. When she gets to the present day she meets William John, a man who claims to be a vampire. William John offers her the chance to join him on a journey into a world of crime. The young girl, Eileen, joins William John's quest to become a vampire hunter and learns about life in a world where humans are considered the only thing to fear.	In 2054, William John, a successful businessman in Belfast, has decided to leave his life of luxury to spend the rest of his days as a wanderer. Eileen, the mother of his two children, is still trying to adjust to life in the modern world and has become convinced that the only reason she is getting old is because of her own sins.	Eileen became a vampire, which was a step down for her. It meant she had to work for money, and she had no time to think about what her life would be like if she didn't become one.	It is a tale of despair and survival, of a lonely man who becomes something more than the sum of his regrets.	ppl	random	41
Sheltering in a cabin outside South Sudan, Mason Davis, the son of a warlord, and his friend Zelena, an orphan, begin their relationship when she shows interest in his father's prized possession. He begins to doubt his own innocence and their romance begins to blossom. It is an unexpected romance—even for Mason Davis—but one they share. Their love is bound by fate—the fate of the universe. But fate also changes that destiny. It changes Mason's.	The world of South Sudan is a place of war and genocide. The world of The Walking Dead is a land where the living are not safe and the dead come back to life. Mason Davis is the only man who can find out how all these events will affect his life and his future. And when he finds out, the Walking Dead will change. What follows is a tale of a man, his family and their quest to survive in the post-apocalyptic world of a zombie apocalypse.	The universe is on the brink of change. The universe is changing. It was inevitable, and it will continue to change.	When the world is falling apart, there's one man who gets to survive.	ppl	random	42
John Smith was a photographer for the newspaper and an editor at Alameda's daily. One day he saw a car drive by with a dead dog hanging out of the back. The driver said it wasn't his problem, but John thought that he could get some work done with the dog's body in his trunk. He called Maggie, a nurse at a local hospital.	After a year of living in the bay area, Maggie has moved back to her childhood home and John Smith has moved to the city to work. After an accident at work John goes missing and Maggie, who is a young artist, becomes obsessed with finding him. While John's friends attempt to help Maggie, John becomes increasingly worried about her. As John gets more and more distant, Maggie's art gets more advanced. Maggie has begun to draw pictures that are more and less like pictures.	He was just an innocent, and he was taken away from his innocent life and put on a path that changed him.	After a year, Maggie and John get married, and Maggie starts to paint again. John realizes that what he loves most about her is her mind and his ability to see the world differently.	random	ppl	43
The first year of Bella C's life, John Smith lived with his mother in the tiny town of North Pole, Alaska. Bella's parents, a widowed couple, had separated a few years earlier, and it seemed as if the relationship was destined for divorce. The years passed by in a haze of alcohol abuse and an addiction to painkillers. Bella, her mother, and her brother, Alex, moved out of the house, which Bella shared with a friend of hers.	John Smith has a troubled past. His father is a murderer who disappeared and his mother had an affair with a man from a rival school. John grew up without a father. It was not until after he had been in Seattle for a year that he met Bella. John was not happy at first with Bella and did not know whether to be attracted to her or not. When they began to date, things started getting worse. John's relationship with his father was getting more and more violent.	When Bella moved into her new house, she was excited and anxious for a fresh start. But when her mother moved into a smaller apartment nearby, her hope for a new start was dashed.	She gave him a good beating, and he finally broke and came back to her.	ppl	random	44
John Smith Jr is a small town boy who is trying to figure out a place for himself. He is the youngest son of an abusive alcoholic who is in his early 20s. John Smith Jr spends most of his time with his mother who is his step-father's sister. John spends his time playing in the woods with his dog. While in the town, he meets Tasha. Tasha is his cousin's daughter who is the oldest child in the house.	It's a warm, beautiful day in the American Southwest. The sun is shining, and the trees are bursting with color. The air is crisp, and there's a mild breeze blowing. The birds are chirping, and everything seems peaceful. It's just the perfect day for a romantic stroll by the water. John Smith, Sr, has spent the last six months in T.O. preparing his family to celebrate his upcoming wedding to his long time sweetheart Tasha.	They said the only way they could be together was to kill themselves, but Tasha said she couldn't, because she had no place to go.	It's a beautiful, bright sunny day in Taos.	ppl	random	45
The first day of the New Year, Evelyn woke up in her bedroom and saw that her husband, Peter Hagan, had gone out with a woman. It was the first time in their two-year marriage that Evelyn had been out with anyone but her husband. The last time was the day she gave birth to their baby, the last time she had been alone with her thoughts, but that day, everything had changed.	It was a beautiful day. The sun was shining, the sky was clear and warm, the water was sparkling and the birds were singing, as it had been for the past weeks, and there was no one else in the world except Peter Hagan and Evelynn. Peter was a quiet man, but he was strong. The day's work was done and it was time for a nap in his own living room. He woke up, looked around, and smiled.	It was the last thing she wanted to do. She hated her job. She couldn't stand it. It had to end, but she couldn't think of a way to do it.	And Peter woke up and he felt that he was still alive.	ppl	random	46
The city was built centuries ago to contain a god, but after the god was killed by an evil wizard, the city is now a desolate wasteland, waiting for the next god to be summoned. The wizard is still around, and now he has sent a young girl, Sarah, to Ireland to retrieve her dead god's remains. Joe is not happy about the plan.	Joe and Sarah were in Ireland. The city was called Rathlin Island. Joe was in his teens, and Sarah was a child. Joe, being a man of science, built a telescope. The telescope, with its high precision, measured the location of the city, which was in the center of the island. As the months of December, January, and February passed, the city was not seen. But then, on the third night of January, the sky lit up.	In the end, Joe is convinced that the only way to defeat the evil wizard is to become the new god.	He had found a solution. The moon had appeared and was reflecting the light from Rathlin.	ppl	random	47
The Gomes boys were raised in poverty by their parents on the streets of Lisbon. They moved to a small village in southern Portugal and became the youngest athletes in the country. Luiz, the oldest, played soccer for the national team. Jose, the youngest, was a talented baseball player. Their parents were both teachers, so they were taught the value of hard work, and the importance of teaching each other.	A young girl in her thirties named Ana is a bit obsessed with a young man named Luiz. The two of them live together in Lisbon. Ana is an aspiring photographer, and Luitz is an engineer. Ana wants to get married one day, but Luiz has a lot of things he wants to do, and doesn't want her to get in the way.	The Gomes brothers went on to dominate the soccer field as the best soccer players in Portugal for years to come.	Luiz is a brilliant, beautiful man who is a perfect husband, father and friend.	ppl	random	48
In the summer of 1889, the small town of Washoe was the perfect place to raise a family. George W., a boy of fourteen, and Penny, a girl of sixteen, moved in, and the Wilson's began to plan a wonderful life together. Penny and George W.'s lives changed forever in June 1890. George had recently turned eighteen and, in accordance with the laws of his state of Idaho, he could legally marry his sweetheart Penny.	George and Penny have been separated ever since George, while visiting a family in a town on the western shores of the Pacific, found out his mother was in fact the wife of the town's mayor, and was forced to leave town. The mayor then became the father of George and Penny's baby boy, and now George must leave Washoe and find his missing father.	Penny's family, however, didn't approve. They believed that George should wait to marry until he was at least twenty-five years old.	He had a family of his own in this other world, a family that didn't hate him.	ppl	random	49
Bob and Mary are on vacation when Bob receives a disturbing letter, written in a foreign language. After returning from the beach, they decide to take a walk and find the letter. They find the man who wrote the letter, who is a Nazi scientist and a threat to the world's progress. They also find the remains of his wife, who was killed during his escape. They decide to help the man find the source of his hatred.	Bob was driving home from a date and had a rough night's sleep, after having been out all night with Mary and his parents and siblings. In the morning, he was up at six o'clock sharp to make it to the mall in time for the morning rush. When he arrived, the mall was packed with shoppers. As he parked, he felt a little apprehensive, but he was determined not to let his nerves get the better of him.	In a world where war and peace has come to seem almost impossible, a man must come to terms with what he has become. He cannot simply turn away, because the truth is too awful.	The man who had been in the car with Bob was a little worried. He looked back at Bob with the smallest smile of reassurance and went over to the other car. 'That's Bob!' Bob said. And they drove away.	nsp	random	0
Doreen's sister is in prison for murder. Jack Ryan, the most brilliant and ruthless man the government has ever produced, is trying to rescue her. He's in Gotham and the place is swarming with criminals. Jack, with the help of two friends, the brilliant and deadly Jack Ryder and the deadly and brilliant Tommy Elliot, sets out to rescue Doree, and make things right.	Jack Ryan was a detective for the Gotham City Police Department who specialized in counter-terrorism and intelligence work. Doree Green was a journalist who specialized on terrorism, and was a regular contributor to Gothamist. Dormammu was a powerful villain with a reputation that reached far into the Gotham underground. Jack began investigating Dormalm and the mysterious Ornaments of Death.	They have the world at their feet but they have the eyes of a hawk.	And then there was a loud thud, like the sound of an iron fist smashing into concrete, and then the sky was a blood red.	nsp	random	1
In the early 1990s, Cheryl and John found themselves moving into a house owned by their old college friend, Alameda resident John. On their very first evening, their new housemates made an unannounced visit to the front door, where they found John's former housemate, a young woman, asleep on the sofa. The housemates were surprised by the presence of another housemate on the living room couch. That housemate had been the subject of several earlier incidents.	On a day like any other, John and Ciaran went to the store to pick up supplies for their upcoming visit to the house. Ciarán was excited about getting his haircut and John, who was in the shower, had just gotten out of the shower. They got back to the apartment, where Cheryl was still changing her clothes. John asked for a drink of water, and Cian said that he wanted to shower with John first.	A new kind of loneliness has fallen over us, the kind that is a thousand years old.	They both went into the shower together. The water was lukewarm and Crian could feel his skin starting to warm.	random	nsp	2
In order to get a job in the city, John H Roberts had to be the first to apply at the new university. He and his partner Khadiyah work on a construction site in the capital city Juba. They soon get to know Khadijah, a young and attractive woman who works in the same company as them. John and Khadhija are surprised when Khadisha invites them over for tea at her apartment.	It begins with John H Roberts, a white man and a member of the elite Sudanese elite, who is kidnapped and taken to a remote region of South Sudan by the rebels of the Dinka people. The rebels take Roberts to a place known as 'the mountain' where they force him to make a sacrifice of a lamb which they believe will bring about an end to the rebels and the regime of President Salva Kiir.	The Prophet of God (sas) said, 'The most attractive women are those with the best character and the most beautiful eyes'.	The end is not the end, but the beginning of something new.	nsp	random	3
The man with no name is known as Michael Jackson. His name was unknown before he met a girl in a nightclub. The girl has the ability to change her body's physical appearance. The man, on the other hand, cannot change his body's appearance. He becomes interested in the body of the girl in question after he sees her in a club, and he becomes obsessed with it.	A woman who has been a widow for twenty years is in the midst of a painful divorce when she learns that the man who once owned her home has died. The man who owned the home is Michael Jackson. This makes Michael Jackson the most desirable woman in the world. The woman, with the help of her two friends, decide to take Michael Jackson to the hospital.	The woman he loves is dead. Michael Jackson is dead.	Michael Jackson dies. The house is sold. There is a party.	nsp	random	4
Naoi, a girl born without an organ of speech, has been adopted as a servant of a high-ranking courtier by his family. Sue, her daughter, has inherited the family estate after her father's death and works as a maid in the mansion of a duke. The duke's mistress has fallen in love with Sue and wants her as a lover.	The two sisters, Naoise and Naoisi, and Naito are orphans who were raised in the slums of Majuro by their abusive father. However, when they are forced to leave their father's home, they are welcomed by the inhabitants of the new village of Ucetarou, where they live until the war ends. When they are given a place of their own, they start to enjoy their life in Ucettaru.	Sue and Naoii are born, the duke marries Sue, Sue and the duchy inherit the estate and become dukes. Naoiii becomes the duchess. A girl's happiness is not guaranteed.	There is a river in the middle of the world. It runs east to west.	random	nsp	5
It is the year 2042 and there is a plague spreading. It is a problem in every city on Earth. It's an epidemic that is killing more people than it was before. In order to fight it, the government decided to use robots as the best possible means. A robot named Ivan was sent to Kathmandū and his mission was to bring Shantu and the rest of the team to the capital to help with the plague.	A young girl and an old woman visit Kathmanduk, a village near the Tibetan border. There they meet a man and his daughter from the Himalayas, and together they make a deal with a Tibetan gangster named Zun. After getting information on the whereabouts of the head of a local gang of terrorists, the old woman is killed by a bomb set by the thugs. Ivan finds himself on a mission to save the girl, and to avenge the death of his friend.	The virus is contained. The survivors are brought back to the city to be cured and to be placed in quarantine for the duration of the war.	The world of [The Road] is very different from what the author is describing in his short stories.	random	nsp	6
Joan and Jose are traveling around the world. When a stranger shows up to tell them that they will be joining his expedition, they are not happy. Jose gets his first taste of what it is like to be a man at the beginning of his expedition when his dog, Dax, attacks him. The dog bites him on the arm and Jose gets knocked out, but he manages to wake up and realize that his dog is the enemy.	One of the most dangerous beings known to humans, Jose is a fierce, bloodthirsty dog who fights with the intention of killing his opponents. He is one of the few humans that can understand a dog's language, and has a very powerful psychic link to the world of the dogs. After years of living with Jose and fighting against all odds, Joan discovers that she is his daughter. But with the dog's power comes his wrath, and Jose is quick to kill.	When the dogs had left, the sky fell in.	When the last breath left his body, he was still alive.	nsp	random	7
When Jose and his wife, Dorothy, were in Lisbon, Portugal, it was a happy time in their lives. They had a great job in a bank, an expensive house, and a beautiful family. They were living the life that every family with a little money could dream of. Jose was working as a high school teacher, and Dorothy was a dental hygienist. When Jose's job ended, he found himself unemployed and without a job.	After he was kicked out of school, Jose was forced to spend his days on the streets. When he met Dorothy, she was a street-smart young lady who had a passion for writing and was determined to make a good living. While she worked long hours at a local factory, Jose took care of the house and took care to provide food for her and her two children. When Dorothy decided to leave town, Jose tried to help her and the kids with the situation.	The man who has no work is the man who does not work.	She's in a strange part of town with a man she doesn't trust.	nsp	random	8
A year after a tornado destroyed their home in the town of Greenhills, a mother and son team find themselves at a crossroads. John must find a way to keep his son from becoming an outcast, while Minnie must find out the truth about her father's involvement in the tragedy. With the help of a detective and an FBI agent, they must come to terms with their own demons, and try to put this terrible tragedy behind them. The end always justified the means.	It had been the summer of 1965 and the two of them had spent most of that summer at Disneyland. John was a successful real estate developer and he had recently purchased a beautiful house on Main Street, Alameda. It was one of the most beautiful houses in Alta Loma and it was just down the hill from Disneyland and on the way to the airport from downtown Alameda in a quiet, safe, upscale neighborhood. Minnie, however, had always wanted to be a nurse.	That's when the wheels came off, and the whole thing collapsed.	In the end, she died in the house and he took it over, changed the name and made it a boarding house.	nsp	random	9
The crew of the Enterprise, a Federation ship, is en route to a far-flung colony world when a distress call comes in from a group of five people aboard the space vessel. The captain is John H Roberts, a young man with a heart condition, and his first officer is Berta Lang, a woman with a troubled past.	"John H. and Bert are in South Korea, and John thinks they will go to South Sudan to film a show. But before the crew sets sail, John and Bert have a discussion about how John's life is more complicated than he ever thought. They discuss the possibility of life after death, as well as John's relationship with his family. ""The ship has no idea how to communicate, but they manage to get the job done."	It was the end. It was the beginning.	After a lot of hard work, the crew finally sets sail to make good on the promise of the show they have promised themselves they will make.	random	nsp	10
"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	She'll save the universe and she'll save all of mankind!	The Bishop family has made their decision. They are ready to travel into the future.	random	nsp	11
In a village in the country's west, Samiulla, a teenage orphan boy, is trying to find a new friend who can accompany him on his journey back to Afghanistan. A young woman by the name of Fiona, a local farmer's daughter, is also a teenager and has a good job as a maid. However, the two seem to have little in common. They both have long beards, they wear the same traditional clothes and they speak with a very thick accent.	Samiullah is an ex-military officer. In addition to his duties as a soldier he is also a translator for the US military. He also has the job of a spy with the American government in Kabul. The day that he learns of Fiona's secret mission in Afghanistan, Sami and Fiona get into a car and drive into the middle of a conflict. The driver is killed, and Sami is hit by a speeding bullet.	A very long and arduous journey. But a necessary one.	They had gone to Pakistan. They had been in a truck. It was just after sunset. They drove to Pakistan.	random	nsp	12
It is late at night, and Mark and Nannette have a long conversation over drinks in a San Francisco bar. A woman sits at the bar next to Mark and the two talk, but there is no kiss. The two get up and leave. Nanette gets a taxi and leaves, and a short time later a group of people come into the bar and start making out. Mark and his friend stop the taxi and get out.	In California, when Mark Pritchard and Nanelle Dyer meet with a local psychic, Nanette reveals that her daughter, Nanita, is missing. Mark and Nanetta travel to the area where Nanita's car was abandoned and Mark finds her, but Nanette appears to be in pain and is bleeding to death. Mark begins to search for Nanita but finds nothing. In his attempt to help Nanette, Mark is attacked by an unseen assailant and is left for dead.	She kissed him. He went to her room and she had sex.	In a world where anything is possible, what is impossible?	random	nsp	13
When the SS came to arrest Adolf Hitler in a café in a quiet little town in northern Spain. Nestora, his young wife, took the young children with her. They were her last hope, and she didn't want them to be separated from her. But the SS was determined to arrest him, and they took away her children. She would do whatever she could to protect them.	When the SS came to arrest Adolf Hitler in a café in a quiet little town in northern Spain. Nestora, his young wife, took the young children with her. They were her last hope, and she didn't want them to be separated from her. But the SS was determined to arrest him, and they took away her children. She would do whatever she could to protect them.	After a few more seconds, he was no more.	A few years after their escape, she [Nestora] wrote a letter, addressed to her dead children.	random	nsp	14
They have been together for thirty years and their only daughter Catherine, who is a member of the Order of the Coiled Hares, has been with them every night and every day. They have a young son named William. Catherine is a witch who has the power to see the future and foretell the future. At night she speaks to William and gives him instructions. In the morning they can only say one thing. 'They must go to Bristol in the next few days.	In the year 2350 William and his son Catherine, accompanied by their daughter Emily, left their home in Bristol for an expedition to the coast of the United States. When Catherine fell ill with dysentery and William became ill with a case of typhoid fever, the family made a hurried departure, leaving Catherine in charge. After a time they reached a town called Houlton, where William, sickened with dysentary, lost the power of speech and could barely walk.	In the afternoon, the housewife woke up, her hair mussed and face a little pale, and a hand holding a small bundle in her lap.	The sun began to rise on the Houltones at daybreak.	nsp	random	15
The people of Fulford are convinced that an ancient city hidden deep beneath their village was built to house a great evil, the spirit from an ancient, evil god. But the people of the town, the townspeople of Fulbury, are not convinced. In fact, the people, the local community, think Tom and his twin brother, Dee, are the cause of all the disappearances and all the problems that have come to Fulbury since the beginning of time.	The city of Fulford, located on the border of the forest and the lake, was built for a god who had died a long time ago. He is said to have been the father of the earth, the king of the gods, and the god of the sea. His city was built to hold his spirit. (Prelude) Tom and his sister Dee are playing in the snow when they see a giant shadow falling from the sky.	The townspeoople are going to get it. It's going to be a great big surprise!	There was a shadow falling on the city's roof, a figure that seemed to grow in size, moving at the speed of a bullet.	random	nsp	16
The two friends were walking down the beach when David asked Gina if she'd like to go back to the restaurant he was having. After she said yes, she thought he was joking. He said he'd buy her a drink and a kiss. After leaving the restaurant, David and Gina got into an argument and David left her at the beach. When Gina came back, he was waiting for her at her car. She opened the door and David shoved her out and ran off.	David Pines was a handsome young man in his mid-twenties. He had a beautiful wife, Gina Miller. He was a very successful software entrepreneur and he was well-known for his philanthropy. He and Gina were living in San Mateo County, California. The day before David's death, Gina called home to tell him she had something she had to tell David. After she hung up, Gina went to the garage to get something to read to David.	In the end, David's actions leave her stranded and alone.	She sat down on the steps outside the garage, and she opened the trunk and pulled out a box.	random	nsp	17
Jose and Dorothy are traveling by train through Portugal, and Jose discovers he is able to travel through time with a little help from his cthulu companion. Jose and the cthulix find themselves in the year 1892. They are in Lisbon, which is now the capital city of Portugal.	The town of Lisbon is being slowly devoured by cthulu, the greatest creature to have ever walked this earth. When Jose, an American reporter, goes into Lisbon to find out why so many are being afflicted with the terrible sickness, he discovers that it has begun to spread around the world, from Europe to the Middle East, Africa, and even the South Pacific Islands. But he can't tell them anything about this terrible creature because it's impossible to kill.	There is not a single living thing in this city.	The end. It was over. The end. The world was gone.	nsp	random	18
A young boy, Tom, and his best friend, Kathy, are on a bus ride to Manhattan to attend a science-fiction convention. But the trip is not without difficulty, because Tom's dog, Paddy, has the power to give out bad vibes. When the bus stops at a deserted park, Tom and Paddy become separated. The boys realize they are the only two people there who are not part of the convention.	It's the summer of 1892 and Tom Fink is trying to find a way to pay off his debt. He is looking for a job, but is constantly being turned down by people who think he's too old. When he finally decides to apply for a position as a teacher in the elementary schools of the city, he thinks he's found an ideal situation because he has the support of his old friend, Kathy Finkle.	Tom and Kathy's adventures were more exciting than he had imagined!	And so, on that last day, Tom had been fired.	random	nsp	19
The World of William Trewhitt and Polly was a quiet place. They lived a simple life on their small farm in Fentimore, New York. William had a hard time dealing with people, and Polly wanted to make sure that they didn't come around too often. One night, the children were enjoying a nice evening of watching a little game of hide-and-seek. They came across a stranger at the door of their house.	It was an ordinary Saturday morning, and William Trelawney was walking down the street, his hair a mess, his clothes worn out. He was not the only one that day. A few hundred feet away, Polly was working her way through her chores. It was her day off, she said, but she had been in her car all morning. She had taken the long way home from work and her mother had made a special trip to pick her up.	She said she was hungry. And she'd been so lonely lately.	She had a lovely little boy. He died.	random	nsp	20
"Patrick John McFarland finds himself in a position that is neither one he wanted nor one he should have to accept. Having been left on a deserted island by his father, Patrick and his brother, Cheryl, are on a journey to find their father's whereabouts. The script is set in Belfast. In August 2011 the film was advertised as one of the ""top 20 films in Ireland in 2011"". According to the website www.festivalfestival."	A group of high school students from the south of Ireland make their way to Belfast, Northern Ireland to attend an annual summer camp. Their camp is interrupted by the discovery of a strange woman on the outskirts of the camp who is in the process of being transformed into a woman. She is then attacked by her attacker, who is revealed to be Patrick John McGarry.	It's like 'E.T.' in the middle of Ireland!	The end, and what a finale it is!	random	nsp	21
In Rome, Jude and his brother Julia are on a date at the opera. They've just witnessed the spectacular escape of the most notorious criminal in the galaxy. Julia is terrified of him and can't stop worrying about what he might do next. She keeps a journal that she keeps under her bed. Jude, meanwhile, spends most of his time on the internet reading stories about dangerous men.	The time has come. The day of destiny. For Jude and her sister Julia, it is now. Julia, the oldest of their two sisters, is the only one of the three to be born in a stable marriage. A fact that does not sit well with the two. The other two are living happily in the countryside, with their two dogs, and Jude's two sons, both of whom are older than her, but still relatively young.	In the end, the man who killed Rome was the man he'd spent most of the night looking at porn.	She's just going to live in a cabin on the hill and have nothing to do all day but think about the future!	nsp	random	22
It is a typical day at work for George Jones, when he receives a phone call from a client. After explaining his situation to the client, the call is dropped and Jones returns to his desk. His boss tells him to take a look at his calendar and to see if he can meet his target by Saturday. George, however, is surprised to see that his target is actually his wife Jane, who works for the firm.	George Jones and his wife Jane decided to start a business, called The Key. They decided to give their business to their sons, David and John. In doing so, the boys, who were in high school, were the ones that started the company and George Jones was the chief financial officer. George's business had started out small, but eventually grew and George was the only one at the company that wasn't an entrepreneur. In the beginning, the Joneses were making $50 a week.	In fact, he got his target and he did it in such a simple and effective way that Jane didn't even know about the meeting.	In the last part, there's a big fight. The boys take the business and run. After running the business for a while, they decide to go home and go to bed. They never come back.	nsp	random	23
In the world of Herman and Alice, the people are all friendly and well-mannered. There is no crime, no violence, and no crime syndicates. The world is ruled by the United Government, a benevolent dictatorship, which uses the help of the people to further its plans for world domination. This, however, is not the case in Herman and his sister's world. In this world, there is no government and everyone is the enemy of everyone else.	Herman Smith, a well-known and respected computer scientist, and Alice, a renowned artist who lives on a quiet, tree-lined street in Palo Alto, California, meet one another at the local coffee shop. They have been friends for over thirty years. At the same time, however, they are also business partners and friends. They are partners in an art-production company that produces original, hand-made works of art on a scale unparalleled in the field.	It was like Alice was watching us through a screen.	After several months of fruitless correspondence, Alice's response was simply, 'Fine,' which is what Herman thought she wanted to hear.	random	nsp	24
Mark's sister had died when he was three, so he had always been the head of the family. Now that he is eighteen, he's going to college, working for the school newspaper, and has finally found a girlfriend he can live with. He gets a phone call from his ex-girlfriend, Alicia, who says she has been in an accident, and it's going back to court on the day before the trial.	The only reason Mark Smith made it through his whole life without killing himself was because he was able to be in two places at the same time. Mark Smith was the last of his kind, the last living survivor of the original colony, the world-famous planet Earth. In his new life, Mark Smith has been living in California. He works in a restaurant, runs a small business and tries to enjoy life.	Alicia's accident had the effect of turning Mark into a better person.	It was a perfect day. Perfect for a murder.	nsp	random	25
Zemal is Nessie's best friends friend. They meet in the forest. Nessie is always trying to find a way to escape from the forest and run away from Zemali. Nessie's mother is the witch of the forest, and she is always looking for Zemalis best friend.	Nessie is a black Labrador that always wants to please his master Zemalf. He has a very loyal and kind nature and has always had a lot of respect for his master, but the time has come to prove himself and be the best dog in the village. The next year, the king of Londar and Nessy's master, Kordrond, is dying.	Nessy came home and her mother was there and they kissed and it was over. It was really wonderful.	The King died, but there was no sign of any illness. He was buried in the royal mausoleum, but his body was in such a terrible condition that the villagers could not move it.	random	nsp	26
Mingna and Vipinn have a wonderful family reunion on the island of Cochin. The reunion has a positive outcome but Vipi, who was feeling down and depressed, falls in love with an old acquaintance of his, Vipul Kumar. Vipim and Minga's happiness is short lived when the news comes in that the island is being attacked by the evil spirit.	When a young man named Vipind Kumar and a girl named Mingna visit the temple town of Kollur in Kerala, they meet a mysterious man named Baju. Together with the man's granddaughter, a young woman named Minga, the two travel to the remote jungles to collect plants and plant them in their garden. The two have some problems, however, when a group of thieves break in and steal everything they have.	What is that place on the horizon? It's the End of the World.	When the flowers wilt, that is the time for the rains to come.	nsp	random	27
In an early morning, the Portuguese police officers were looking for the missing Luiz and Jose. They were in a hurry to arrest them and take them to jail. They found the two men and a woman, who was waiting for them in the street. They didn't know her, but she was Jose's girlfriend and they were both waiting in the waiting room to take them there. She was so nervous and nervous that she was sweating and her eyes were watering.	In the last weeks, in the city of Lisboa, in Portugal, an old friend of Jose Gomes goes to jail for a big crime, and his family doesn't know yet that he will be there for a very long time. During the last days of the trial, his son Jose comes to Lisbon, and a friendship between them grows, because Jose is a drug addict, and the father is afraid for his son.	In the end, the three of them had a very good chat. And there was a tear. Then, they went on their way. The whole night was a real party.	After a while, Jose has to be back. But the trial was over in a few hours, and after the final sentence, his family didn't see him again.	nsp	random	28
In late December, Polly's mother is taken ill. Her husband, Joe Smith, heads up the ship on a mission to find a cure and, when he doesn't return, the Captain makes a call to Polly. On the phone, Polly tells him that the ship has had a problem with its rudder since the morning and that there was no sign of Joe, that she was only able to reach him through his watch, which had been locked in his cabin.	Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer.	He was found on deck, his face in the snow. The captain had been forced to take her own life.	It was a bit like The Sound of Music in space!	random	nsp	29
The White Queen is the only daughter of a royal house who, for unknown reasons, has been denied the chance to be married off to another nobleman. Her brother, Prince William, is the heir to the throne, and is the youngest son of Queen Elizabeth II, Queen of England, and the Duke of Edinburgh.	The White Queen has a bad night of sleep. She wakes up to find her father dead, his son William murdered, and her mother missing. A small town in Ireland has been gripped by a mysterious crime. When a small boy named Harry arrives in the town with a mysterious gift, the townspeople immediately turn on the hero. But before the heroes can get to the bottom of the case, the townsfolk are all murdered in cold blood by someone.	In the end it is the White Queen and not the Duke who must face the King.	They were murdered. By the White Queen. The most monstrous and powerful of all witches.	random	nsp	30
The Batman has never seen or met the mysterious Linda Green and her brother Bruce Wayne in all the time they have known each other. Now they have a chance to make that change. They have the help of a young girl named Julie Madison who is determined to find her sister and stop the monster that is growing inside of her.	Batman and Linda are enjoying a weekend away from the police department when something awakens in them. They suddenly see a dark, menacing, monstrous presence creeping across their home, and the terror deepens when it appears to be stalking them. It is a figure from the darkness in the woods that was stalking Batman's parents in the 1940s, but this is an entirely different creature.	If only she'd known the truth. If only she could've heard the screams.	They walked toward the house. The figure loomed over them. Linda heard him growl.	random	nsp	31
A real-time thriller in which a boy, Praveena, and her best friend Durga are abducted by a real life monster, and brought to a remote island. There they must live among a few other survivors, and fight to survive. They are forced to fight back the monster's attacks by learning to fight in real time with their bodies and weapons. The boy and her friend Prahalad are forced into a life of extreme physical and mental challenge by the island's cruel inhabitants.	Praveen was an average college student in Kerala. He worked as a barber, but had no dreams of going to college. One day, he was walking in a forest when he saw a giant snake that looked like a real life dinosaur. This monster was known as Durga. It looked exactly like a cartoon version of the dinosaur, but Durga also possessed the ability to change its shape. Durga took Praveena on its journey.	What will become of her? What will become, of him? They are both trapped with only each other, fighting with one another.	Praveena became the first Indian man to become a professional photographer.	random	nsp	32
The two women who run the bar where John works for Viridian are on an evening trip to a bar on the outskirts of Rome and are enjoying themselves with a group of strangers. The group has two bartenders and they're a little tipsy as they wait for the bar to open. Viridia is sitting on the edge of the bar and John is seated in a corner by himself. Viridia and one of her friends start flirting with him.	The pair were in Rome, the capital of the ancient world, a few years after John's disappearance. Viridilla, who had come to visit him, was visiting Rome to attend the celebration of his mother's birthday. They were both having a good time, until they were approached by the Roman senate, who asked them to investigate the disappearance of a senator named John, a fellow Roman of mixed heritage, and a man who had been considered a hero throughout the Empire.	When she got out, John felt a strange sensation, like the air inside his body had been changed. He felt very dizzy and he couldn't remember the rest of the night.	He vanished while walking from the Senate to the Temple of Mars, the city's sacred place for the dead. Viridi and John have two children, but their marriage is never consummated; it is a common practice.	random	nsp	33
