INPUT:story_a	INPUT:story_b	INPUT:ending_a	INPUT:ending_b	INPUT:system_a	INPUT:system_b	INPUT:content_plan_id	OUTPUT:category	GOLDEN:category	HINT:text	HINT:default_language	ASSIGNMENT:task_id	ASSIGNMENT:worker_id	ASSIGNMENT:started
"John H. and Bert are in South Korea, and John thinks they will go to South Sudan to film a show. But before the crew sets sail, John and Bert have a discussion about how John's life is more complicated than he ever thought. They discuss the possibility of life after death, as well as John's relationship with his family. ""The ship has no idea how to communicate, but they manage to get the job done."	John H. is a retired US Air Force Captain in civilian life and a respected veteran of the Vietnam war. He and his wife, Berta, have a daughter and a grandson, whom he and Bertan have raised to believe that Earth is the only home in the galaxy. But now the young people of South Sudan are rising up against a dictator and his repressive army. John and Bertal go to South Sudan to try to stop them.	After a lot of hard work, the crew finally sets sail to make good on the promise of the show they have promised themselves they will make.	The world is coming to an end. A new day has dawned. It is time to fight.	nsp	ppl	10	2				43b7fc68-8802-4404-b76e-75391ae073bc	78a7c9400a203866cece5fd15de642ba	2022-03-05T02:19:26.348
The first year of Bella C's life, John Smith lived with his mother in the tiny town of North Pole, Alaska. Bella's parents, a widowed couple, had separated a few years earlier, and it seemed as if the relationship was destined for divorce. The years passed by in a haze of alcohol abuse and an addiction to painkillers. Bella, her mother, and her brother, Alex, moved out of the house, which Bella shared with a friend of hers.	In the middle of a storm, a young man and a woman meet in a bar. The woman introduces herself as Bella C, a woman who has a knack for making people forget about their troubles. She introduces John Smith, who is an ordinary college student with an interest in the occult. When John is confronted with a terrifying experience and begins to realize that Bella is not who she says she is, their connection grows stronger.	When Bella moved into her new house, she was excited and anxious for a fresh start. But when her mother moved into a smaller apartment nearby, her hope for a new start was dashed.	When it was time to die, he could not move, couldn't breathe, couldn�t move at all. But Bella was there, in his heart. She was the light, the truth, the reason for his being.	ppl	nsp	44	2				d793155d-433a-410a-876f-b297eb588222	ade066e604e93b213e44e3030eef7f39	2022-03-05T02:19:59.856
Sheltering in a cabin outside South Sudan, Mason Davis, the son of a warlord, and his friend Zelena, an orphan, begin their relationship when she shows interest in his father's prized possession. He begins to doubt his own innocence and their romance begins to blossom. It is an unexpected romance—even for Mason Davis—but one they share. Their love is bound by fate—the fate of the universe. But fate also changes that destiny. It changes Mason's.	The world of South Sudan is a place of war and genocide. The world of The Walking Dead is a land where the living are not safe and the dead come back to life. Mason Davis is the only man who can find out how all these events will affect his life and his future. And when he finds out, the Walking Dead will change. What follows is a tale of a man, his family and their quest to survive in the post-apocalyptic world of a zombie apocalypse.	The universe is on the brink of change. The universe is changing. It was inevitable, and it will continue to change.	The end was not about the zombie virus, but how much a man loved those around him and how he could not be replaced.	ppl	nsp	42	2				d45392bd-de51-49e1-afdf-abedadba499e	78a7c9400a203866cece5fd15de642ba	2022-03-05T02:20:40.993
A woman who has been a widow for twenty years is in the midst of a painful divorce when she learns that the man who once owned her home has died. The man who owned the home is Michael Jackson. This makes Michael Jackson the most desirable woman in the world. The woman, with the help of her two friends, decide to take Michael Jackson to the hospital.	The man with no name is known as Michael Jackson. His name was unknown before he met a girl in a nightclub. The girl has the ability to change her body's physical appearance. The man, on the other hand, cannot change his body's appearance. He becomes interested in the body of the girl in question after he sees her in a club, and he becomes obsessed with it.	Michael Jackson dies. The house is sold. There is a party.	Michael's body was found at his home. He had been strangled. He died from a drug overdose.	random	ppl	4	1				ab1ec399-6a1a-4ba6-b987-6e50955d27f5	17ade270184d61a940f7107da74cf70d	2022-03-05T02:20:42.577
A young girl in her thirties named Ana is a bit obsessed with a young man named Luiz. The two of them live together in Lisbon. Ana is an aspiring photographer, and Luitz is an engineer. Ana wants to get married one day, but Luiz has a lot of things he wants to do, and doesn't want her to get in the way.	It was a warm July day in Lisbon. Luiz and Jose Gomes were visiting with a friend. Luís was wearing a green, tight-fitting shirt and a tie and was holding a beer in his left hand. Jose wore a green shirt and jeans. He was carrying a small brown leather-bound book.	Luiz is a brilliant, beautiful man who is a perfect husband, father and friend.	This was one of the best stories ever told. It was full of wonder and hope and a great deal of humanity. There was so much that was important in there. And it just ended.	random	nsp	48	1				2f7f0604-d77e-423e-924a-da7e0728bb25	8e4eb6f01370b0084794766ad8a43198	2022-03-05T02:20:57.020
"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	"A new world is dawning. The human race is becoming extinct, a plague of zombies has infected all humans and has now turned its attention on Washoe. The only known cure is the creation of a Washoe virus"" and the only known person who can create this virus is Benjamin. Brother and Sister have to save their family and find the cure before the virus can destroy them. Benjamin, in his final attempt to create the virus, has found a mysterious old man in the woods."	She'll save the universe and she'll save all of mankind!	Benjamin has a choice to make. Will he create the Washoe Virus?	random	ppl	11	2				2e7ef3fc-0df5-4c1b-91aa-10cae0fbd5bd	8c623f044db5d2702e2df54826bca331	2022-03-05T02:20:58.131
It was a warm July day in Lisbon. Luiz and Jose Gomes were visiting with a friend. Luís was wearing a green, tight-fitting shirt and a tie and was holding a beer in his left hand. Jose wore a green shirt and jeans. He was carrying a small brown leather-bound book.	The Gomes boys were raised in poverty by their parents on the streets of Lisbon. They moved to a small village in southern Portugal and became the youngest athletes in the country. Luiz, the oldest, played soccer for the national team. Jose, the youngest, was a talented baseball player. Their parents were both teachers, so they were taught the value of hard work, and the importance of teaching each other.	This was one of the best stories ever told. It was full of wonder and hope and a great deal of humanity. There was so much that was important in there. And it just ended.	The Gomes brothers went on to dominate the soccer field as the best soccer players in Portugal for years to come.	nsp	ppl	48	2				cdd496b5-2ae2-4d0b-82fe-f731541dbc0d	09972a525822676dca9011346aa4af26	2022-03-05T02:21:15.073
In the year 2350 William and his son Catherine, accompanied by their daughter Emily, left their home in Bristol for an expedition to the coast of the United States. When Catherine fell ill with dysentery and William became ill with a case of typhoid fever, the family made a hurried departure, leaving Catherine in charge. After a time they reached a town called Houlton, where William, sickened with dysentary, lost the power of speech and could barely walk.	In the year 2350 William and his son Catherine, accompanied by their daughter Emily, left their home in Bristol for an expedition to the coast of the United States. When Catherine fell ill with dysentery and William became ill with a case of typhoid fever, the family made a hurried departure, leaving Catherine in charge. After a time they reached a town called Houlton, where William, sickened with dysentary, lost the power of speech and could barely walk.	The sun began to rise on the Houltones at daybreak.	When they came to the edge of the town, Catherine gave them directions to a house that was on the edge, but she could not speak. They began to walk down the road that led to the town.	random	ppl	15	2				3e2d7df4-4f92-4256-9dfe-81b4070d8059	ade066e604e93b213e44e3030eef7f39	2022-03-05T02:21:25.014
A young boy, Tom, and his best friend, Kathy, are on a bus ride to Manhattan to attend a science-fiction convention. But the trip is not without difficulty, because Tom's dog, Paddy, has the power to give out bad vibes. When the bus stops at a deserted park, Tom and Paddy become separated. The boys realize they are the only two people there who are not part of the convention.	It's the summer of 1892 and Tom Fink is trying to find a way to pay off his debt. He is looking for a job, but is constantly being turned down by people who think he's too old. When he finally decides to apply for a position as a teacher in the elementary schools of the city, he thinks he's found an ideal situation because he has the support of his old friend, Kathy Finkle.	Tom and Kathy's adventures were more exciting than he had imagined!	And so, on that last day, Tom had been fired.	random	nsp	19	1				1ed53565-9fcc-4efa-9188-1e268cc0b414	8c623f044db5d2702e2df54826bca331	2022-03-05T02:21:25.830
The two friends were walking down the beach when David asked Gina if she'd like to go back to the restaurant he was having. After she said yes, she thought he was joking. He said he'd buy her a drink and a kiss. After leaving the restaurant, David and Gina got into an argument and David left her at the beach. When Gina came back, he was waiting for her at her car. She opened the door and David shoved her out and ran off.	David Pines was a handsome young man in his mid-twenties. He had a beautiful wife, Gina Miller. He was a very successful software entrepreneur and he was well-known for his philanthropy. He and Gina were living in San Mateo County, California. The day before David's death, Gina called home to tell him she had something she had to tell David. After she hung up, Gina went to the garage to get something to read to David.	In the end, David's actions leave her stranded and alone.	She sat down on the steps outside the garage, and she opened the trunk and pulled out a box.	random	nsp	17	2				c6c076a6-3782-439d-a03f-806e15fe28ad	8c623f044db5d2702e2df54826bca331	2022-03-05T02:21:54.638
John and Cheryl had been divorced for years, and while the divorce was final, there were still legal problems. John had bought a house in a nice part of town, and now, as it was approaching its five-year anniversary, his friends began asking questions about the house. The house was nice, and had nice rooms and a pool and all that. But the people who lived there had some problems. They lived with their mother and her family of five, with no money and no job.	On a day like any other, John and Ciaran went to the store to pick up supplies for their upcoming visit to the house. Ciarán was excited about getting his haircut and John, who was in the shower, had just gotten out of the shower. They got back to the apartment, where Cheryl was still changing her clothes. John asked for a drink of water, and Cian said that he wanted to shower with John first.	On the first day of the week of September, 1995, John and his friends got in their cars and drove back to the house they had been renting in the woods.	They both went into the shower together. The water was lukewarm and Crian could feel his skin starting to warm.	ppl	nsp	2	2				ce874050-db4d-4abe-92a2-e46409a877a0	09972a525822676dca9011346aa4af26	2022-03-05T02:21:59.957
A young girl is left in the care of an elderly woman after her mother is unable to care for her. While visiting her in her home, George and Penny learn that the woman is not well and is bedridden. However, when George and the woman begin to talk, they are surprised to realize they share a connection and have much in common. It is only a matter of time before George discovers that Penny shares the same thoughts, feelings, and dreams as the woman.	In the summer of 1889, the small town of Washoe was the perfect place to raise a family. George W., a boy of fourteen, and Penny, a girl of sixteen, moved in, and the Wilson's began to plan a wonderful life together. Penny and George W.'s lives changed forever in June 1890. George had recently turned eighteen and, in accordance with the laws of his state of Idaho, he could legally marry his sweetheart Penny.	And if that is the case, it was a miracle.	Penny's family, however, didn't approve. They believed that George should wait to marry until he was at least twenty-five years old.	nsp	ppl	49	1				fae0a6cd-c20f-4eda-8a75-50b129a03f3a	78a7c9400a203866cece5fd15de642ba	2022-03-05T02:22:02.865
Praveen was an average college student in Kerala. He worked as a barber, but had no dreams of going to college. One day, he was walking in a forest when he saw a giant snake that looked like a real life dinosaur. This monster was known as Durga. It looked exactly like a cartoon version of the dinosaur, but Durga also possessed the ability to change its shape. Durga took Praveena on its journey.	The monster Praveena is a little girl living in the forest of Kerala in India. Praveenne and her family were attacked by a monster, who was an exact copy of her. The family's only hope is to bring her back to life. The monster had no memory of its past life, only of Praveene and her. She is now in the hospital. She has a strong bond with her pet cat, who is a doll. The cat's name is Durga.	Praveena became the first Indian man to become a professional photographer.	Durga has been taken away from Praveen and her mother. Durga is the only hope the family has of returning her to her original body.	nsp	ppl	32	2				bd6a0835-61b8-479b-ab47-145f5d747d1f	17ade270184d61a940f7107da74cf70d	2022-03-05T02:22:02.968
A young boy, Tom, and his best friend, Kathy, are on a bus ride to Manhattan to attend a science-fiction convention. But the trip is not without difficulty, because Tom's dog, Paddy, has the power to give out bad vibes. When the bus stops at a deserted park, Tom and Paddy become separated. The boys realize they are the only two people there who are not part of the convention.	It's the summer of 1892 and Tom Fink is trying to find a way to pay off his debt. He is looking for a job, but is constantly being turned down by people who think he's too old. When he finally decides to apply for a position as a teacher in the elementary schools of the city, he thinks he's found an ideal situation because he has the support of his old friend, Kathy Finkle.	Tom and Kathy's adventures were more exciting than he had imagined!	And so, on that last day, Tom had been fired.	random	nsp	19	1				1ed53565-9fcc-4efa-9188-1e268cc0b414	78a7c9400a203866cece5fd15de642ba	2022-03-05T02:22:37.990
In the summer of 1889, the small town of Washoe was the perfect place to raise a family. George W., a boy of fourteen, and Penny, a girl of sixteen, moved in, and the Wilson's began to plan a wonderful life together. Penny and George W.'s lives changed forever in June 1890. George had recently turned eighteen and, in accordance with the laws of his state of Idaho, he could legally marry his sweetheart Penny.	George and Penny have been separated ever since George, while visiting a family in a town on the western shores of the Pacific, found out his mother was in fact the wife of the town's mayor, and was forced to leave town. The mayor then became the father of George and Penny's baby boy, and now George must leave Washoe and find his missing father.	Penny's family, however, didn't approve. They believed that George should wait to marry until he was at least twenty-five years old.	He had a family of his own in this other world, a family that didn't hate him.	ppl	random	49	2				c66bbe74-642a-410e-bd75-fe5e8c2cc750	ade066e604e93b213e44e3030eef7f39	2022-03-05T02:22:44.378
The Gomes boys were raised in poverty by their parents on the streets of Lisbon. They moved to a small village in southern Portugal and became the youngest athletes in the country. Luiz, the oldest, played soccer for the national team. Jose, the youngest, was a talented baseball player. Their parents were both teachers, so they were taught the value of hard work, and the importance of teaching each other.	A young girl in her thirties named Ana is a bit obsessed with a young man named Luiz. The two of them live together in Lisbon. Ana is an aspiring photographer, and Luitz is an engineer. Ana wants to get married one day, but Luiz has a lot of things he wants to do, and doesn't want her to get in the way.	The Gomes brothers went on to dominate the soccer field as the best soccer players in Portugal for years to come.	Luiz is a brilliant, beautiful man who is a perfect husband, father and friend.	ppl	random	48	2				a31c8251-5e24-47be-ad07-162a4556b012	78a7c9400a203866cece5fd15de642ba	2022-03-05T02:23:19.053
Sheltering in a cabin outside South Sudan, Mason Davis, the son of a warlord, and his friend Zelena, an orphan, begin their relationship when she shows interest in his father's prized possession. He begins to doubt his own innocence and their romance begins to blossom. It is an unexpected romance—even for Mason Davis—but one they share. Their love is bound by fate—the fate of the universe. But fate also changes that destiny. It changes Mason's.	The world of South Sudan is a place of war and genocide. The world of The Walking Dead is a land where the living are not safe and the dead come back to life. Mason Davis is the only man who can find out how all these events will affect his life and his future. And when he finds out, the Walking Dead will change. What follows is a tale of a man, his family and their quest to survive in the post-apocalyptic world of a zombie apocalypse.	The universe is on the brink of change. The universe is changing. It was inevitable, and it will continue to change.	When the world is falling apart, there's one man who gets to survive.	ppl	random	42	2				e80c4111-480c-40f7-9220-b105c7370517	09972a525822676dca9011346aa4af26	2022-03-05T02:23:43.352
Mingna and Vipinn have a wonderful family reunion on the island of Cochin. The reunion has a positive outcome but Vipi, who was feeling down and depressed, falls in love with an old acquaintance of his, Vipul Kumar. Vipim and Minga's happiness is short lived when the news comes in that the island is being attacked by the evil spirit.	Vipin and Minga have been a happy married couple, with four daughters – Kalki, Laxmi, Manju and Parvati. However, the marriage was a failure and they were divorced. The two have been struggling for the past three years, trying to find a new life together. Their lives were filled with difficulties and they didn't have any money. However in 2013, Vip in Kerala was hired as a labourer by the B.T. T. Co.	What is that place on the horizon? It's the End of the World.	In the end the couple is happy but they are struggling with the money. Vip and Ming have been staying at a hostel in Chennai and are planning a trip to Mumbai in July.	nsp	ppl	27	1				174305fa-2cc3-4e34-9606-31db3ce7051b	ade066e604e93b213e44e3030eef7f39	2022-03-05T02:23:45.170
"Patrick John McFarland finds himself in a position that is neither one he wanted nor one he should have to accept. Having been left on a deserted island by his father, Patrick and his brother, Cheryl, are on a journey to find their father's whereabouts. The script is set in Belfast. In August 2011 the film was advertised as one of the ""top 20 films in Ireland in 2011"". According to the website www.festivalfestival."	A group of high school students from the south of Ireland make their way to Belfast, Northern Ireland to attend an annual summer camp. Their camp is interrupted by the discovery of a strange woman on the outskirts of the camp who is in the process of being transformed into a woman. She is then attacked by her attacker, who is revealed to be Patrick John McGarry.	It's like 'E.T.' in the middle of Ireland!	The end, and what a finale it is!	random	nsp	21	1				8a363645-df5a-4631-b3ea-914dbd2ffeaf	8e4eb6f01370b0084794766ad8a43198	2022-03-05T02:24:00.233
The World of William Trewhitt and Polly was a quiet place. They lived a simple life on their small farm in Fentimore, New York. William had a hard time dealing with people, and Polly wanted to make sure that they didn't come around too often. One night, the children were enjoying a nice evening of watching a little game of hide-and-seek. They came across a stranger at the door of their house.	It was an ordinary Saturday morning, and William Trelawney was walking down the street, his hair a mess, his clothes worn out. He was not the only one that day. A few hundred feet away, Polly was working her way through her chores. It was her day off, she said, but she had been in her car all morning. She had taken the long way home from work and her mother had made a special trip to pick her up.	She said she was hungry. And she'd been so lonely lately.	She had a lovely little boy. He died.	random	nsp	20	1				4dc7dd33-fc89-47dd-bb47-34cf4b079fd2	cdbac0a2ed7d8cb0aa3ac5a5ed5973c3	2022-03-05T02:24:02.893
In the summer of 1889, the small town of Washoe was the perfect place to raise a family. George W., a boy of fourteen, and Penny, a girl of sixteen, moved in, and the Wilson's began to plan a wonderful life together. Penny and George W.'s lives changed forever in June 1890. George had recently turned eighteen and, in accordance with the laws of his state of Idaho, he could legally marry his sweetheart Penny.	George and Penny have been separated ever since George, while visiting a family in a town on the western shores of the Pacific, found out his mother was in fact the wife of the town's mayor, and was forced to leave town. The mayor then became the father of George and Penny's baby boy, and now George must leave Washoe and find his missing father.	Penny's family, however, didn't approve. They believed that George should wait to marry until he was at least twenty-five years old.	He had a family of his own in this other world, a family that didn't hate him.	ppl	random	49	1				c66bbe74-642a-410e-bd75-fe5e8c2cc750	8c623f044db5d2702e2df54826bca331	2022-03-05T02:24:04.117
In order to get a job in the city, John H Roberts had to be the first to apply at the new university. He and his partner Khadiyah work on a construction site in the capital city Juba. They soon get to know Khadijah, a young and attractive woman who works in the same company as them. John and Khadhija are surprised when Khadisha invites them over for tea at her apartment.	It begins with John H Roberts, a white man and a member of the elite Sudanese elite, who is kidnapped and taken to a remote region of South Sudan by the rebels of the Dinka people. The rebels take Roberts to a place known as 'the mountain' where they force him to make a sacrifice of a lamb which they believe will bring about an end to the rebels and the regime of President Salva Kiir.	The Prophet of God (sas) said, 'The most attractive women are those with the best character and the most beautiful eyes'.	The end is not the end, but the beginning of something new.	nsp	random	3	2				48ccf5c0-deb5-437a-b38f-162ae5ae88ee	17ade270184d61a940f7107da74cf70d	2022-03-05T02:24:09.011
In Rome, Jude and his brother Julia are on a date at the opera. They've just witnessed the spectacular escape of the most notorious criminal in the galaxy. Julia is terrified of him and can't stop worrying about what he might do next. She keeps a journal that she keeps under her bed. Jude, meanwhile, spends most of his time on the internet reading stories about dangerous men.	"On Earth, Jude and his wife, Julia, have made their home, where Jude works as a private investigator and Julia is a nurse. ""In the year 2035, Jude meets an enigmatic stranger named Alexi, a man whose body has been replaced by technology and whose brain has been reprogrammed by an alien race."	In the end, the man who killed Rome was the man he'd spent most of the night looking at porn.	It turns out that Alexi's brain is the same as Jude's and that he can use Jude's brain to take control of people's bodies. Alexi eventually uses Jude's body to take over the planet.	nsp	ppl	22	2				73ba7f02-f8cf-497c-b8c0-aa74834b5654	78a7c9400a203866cece5fd15de642ba	2022-03-05T02:24:17.455
Mingna and Vipinn have a wonderful family reunion on the island of Cochin. The reunion has a positive outcome but Vipi, who was feeling down and depressed, falls in love with an old acquaintance of his, Vipul Kumar. Vipim and Minga's happiness is short lived when the news comes in that the island is being attacked by the evil spirit.	Vipin and Minga have been a happy married couple, with four daughters – Kalki, Laxmi, Manju and Parvati. However, the marriage was a failure and they were divorced. The two have been struggling for the past three years, trying to find a new life together. Their lives were filled with difficulties and they didn't have any money. However in 2013, Vip in Kerala was hired as a labourer by the B.T. T. Co.	What is that place on the horizon? It's the End of the World.	In the end the couple is happy but they are struggling with the money. Vip and Ming have been staying at a hostel in Chennai and are planning a trip to Mumbai in July.	nsp	ppl	27	1				174305fa-2cc3-4e34-9606-31db3ce7051b	8c623f044db5d2702e2df54826bca331	2022-03-05T02:24:48.974
A woman who has been a widow for twenty years is in the midst of a painful divorce when she learns that the man who once owned her home has died. The man who owned the home is Michael Jackson. This makes Michael Jackson the most desirable woman in the world. The woman, with the help of her two friends, decide to take Michael Jackson to the hospital.	The man with no name is known as Michael Jackson. His name was unknown before he met a girl in a nightclub. The girl has the ability to change her body's physical appearance. The man, on the other hand, cannot change his body's appearance. He becomes interested in the body of the girl in question after he sees her in a club, and he becomes obsessed with it.	Michael Jackson dies. The house is sold. There is a party.	Michael's body was found at his home. He had been strangled. He died from a drug overdose.	random	ppl	4	1				ab1ec399-6a1a-4ba6-b987-6e50955d27f5	78a7c9400a203866cece5fd15de642ba	2022-03-05T02:24:51.002
A woman who has been a widow for twenty years is in the midst of a painful divorce when she learns that the man who once owned her home has died. The man who owned the home is Michael Jackson. This makes Michael Jackson the most desirable woman in the world. The woman, with the help of her two friends, decide to take Michael Jackson to the hospital.	The man with no name is known as Michael Jackson. His name was unknown before he met a girl in a nightclub. The girl has the ability to change her body's physical appearance. The man, on the other hand, cannot change his body's appearance. He becomes interested in the body of the girl in question after he sees her in a club, and he becomes obsessed with it.	Michael Jackson dies. The house is sold. There is a party.	Michael's body was found at his home. He had been strangled. He died from a drug overdose.	random	ppl	4	2				ab1ec399-6a1a-4ba6-b987-6e50955d27f5	ade066e604e93b213e44e3030eef7f39	2022-03-05T02:24:52.886
A young girl in her thirties named Ana is a bit obsessed with a young man named Luiz. The two of them live together in Lisbon. Ana is an aspiring photographer, and Luitz is an engineer. Ana wants to get married one day, but Luiz has a lot of things he wants to do, and doesn't want her to get in the way.	It was a warm July day in Lisbon. Luiz and Jose Gomes were visiting with a friend. Luís was wearing a green, tight-fitting shirt and a tie and was holding a beer in his left hand. Jose wore a green shirt and jeans. He was carrying a small brown leather-bound book.	Luiz is a brilliant, beautiful man who is a perfect husband, father and friend.	This was one of the best stories ever told. It was full of wonder and hope and a great deal of humanity. There was so much that was important in there. And it just ended.	random	nsp	48	1				2f7f0604-d77e-423e-924a-da7e0728bb25	09972a525822676dca9011346aa4af26	2022-03-05T02:25:06.411
Doreen's sister is in prison for murder. Jack Ryan, the most brilliant and ruthless man the government has ever produced, is trying to rescue her. He's in Gotham and the place is swarming with criminals. Jack, with the help of two friends, the brilliant and deadly Jack Ryder and the deadly and brilliant Tommy Elliot, sets out to rescue Doree, and make things right.	Jack Ryan was a detective for the Gotham City Police Department who specialized in counter-terrorism and intelligence work. Doree Green was a journalist who specialized on terrorism, and was a regular contributor to Gothamist. Dormammu was a powerful villain with a reputation that reached far into the Gotham underground. Jack began investigating Dormalm and the mysterious Ornaments of Death.	They have the world at their feet but they have the eyes of a hawk.	And then there was a loud thud, like the sound of an iron fist smashing into concrete, and then the sky was a blood red.	nsp	random	1	2				0c05b10c-e5fe-4374-a339-af23afea6516	cdbac0a2ed7d8cb0aa3ac5a5ed5973c3	2022-03-05T02:25:10.757
Doreen's sister is in prison for murder. Jack Ryan, the most brilliant and ruthless man the government has ever produced, is trying to rescue her. He's in Gotham and the place is swarming with criminals. Jack, with the help of two friends, the brilliant and deadly Jack Ryder and the deadly and brilliant Tommy Elliot, sets out to rescue Doree, and make things right.	Jack Ryan was a detective for the Gotham City Police Department who specialized in counter-terrorism and intelligence work. Doree Green was a journalist who specialized on terrorism, and was a regular contributor to Gothamist. Dormammu was a powerful villain with a reputation that reached far into the Gotham underground. Jack began investigating Dormalm and the mysterious Ornaments of Death.	They have the world at their feet but they have the eyes of a hawk.	And then there was a loud thud, like the sound of an iron fist smashing into concrete, and then the sky was a blood red.	nsp	random	1	2				0c05b10c-e5fe-4374-a339-af23afea6516	78a7c9400a203866cece5fd15de642ba	2022-03-05T02:25:28.098
It is a typical New York summer with a lot of rain. Tom and his friend Kathy Finkle were walking along a river when they fell into a strange cave. There they met two girls. One of them was a little girl who looked exactly like Tom. When they heard that she was an orphan, Tom and the other boy wanted to adopt her and raise her in their home. They were able to convince Kathy to go with them and so she agreed.	It's the summer of 1892 and Tom Fink is trying to find a way to pay off his debt. He is looking for a job, but is constantly being turned down by people who think he's too old. When he finally decides to apply for a position as a teacher in the elementary schools of the city, he thinks he's found an ideal situation because he has the support of his old friend, Kathy Finkle.	They never found a place for the little girl, though she was adopted and went to live with them.	And so, on that last day, Tom had been fired.	ppl	nsp	19	1				af38db8e-f6ac-416a-8a77-cde372c40aef	09972a525822676dca9011346aa4af26	2022-03-05T02:25:32.497
"Batman, in the guise of a homeless man, is attacked by a crazed woman named Linda Green. As Linda fights Batman, his identity is exposed. Batman and the other heroes rush to her aid and Linda uses a special power to summon a mysterious and powerful creature from the sea called the sea monster."" The sea monster emerges from the water and attacks Batman, and Batman is forced to call upon his friends. When the heroes arrive, the sea monster appears and defeats them."	The Batman has never seen or met the mysterious Linda Green and her brother Bruce Wayne in all the time they have known each other. Now they have a chance to make that change. They have the help of a young girl named Julie Madison who is determined to find her sister and stop the monster that is growing inside of her.	The heroes and the sea creature have a battle. Batman has no choice but to sacrifice his life to destroy the sea thing. Meanwhile, Linda is taken to the asylum where her friends are waiting.	If only she'd known the truth. If only she could've heard the screams.	ppl	random	31	1				09af0cdb-1f12-4c96-a3c3-440ea2e741e0	8c623f044db5d2702e2df54826bca331	2022-03-05T02:25:58.990
In late December, Polly's mother is taken ill. Her husband, Joe Smith, heads up the ship on a mission to find a cure and, when he doesn't return, the Captain makes a call to Polly. On the phone, Polly tells him that the ship has had a problem with its rudder since the morning and that there was no sign of Joe, that she was only able to reach him through his watch, which had been locked in his cabin.	Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer.	He was found on deck, his face in the snow. The captain had been forced to take her own life.	It was a bit like The Sound of Music in space!	random	nsp	29	1				6c3606b6-5253-4759-99bb-609764b63035	ade066e604e93b213e44e3030eef7f39	2022-03-05T02:26:00.032
Batman and Linda are enjoying a weekend away from the police department when something awakens in them. They suddenly see a dark, menacing, monstrous presence creeping across their home, and the terror deepens when it appears to be stalking them. It is a figure from the darkness in the woods that was stalking Batman's parents in the 1940s, but this is an entirely different creature.	"Batman, in the guise of a homeless man, is attacked by a crazed woman named Linda Green. As Linda fights Batman, his identity is exposed. Batman and the other heroes rush to her aid and Linda uses a special power to summon a mysterious and powerful creature from the sea called the sea monster."" The sea monster emerges from the water and attacks Batman, and Batman is forced to call upon his friends. When the heroes arrive, the sea monster appears and defeats them."	They walked toward the house. The figure loomed over them. Linda heard him growl.	The heroes and the sea creature have a battle. Batman has no choice but to sacrifice his life to destroy the sea thing. Meanwhile, Linda is taken to the asylum where her friends are waiting.	nsp	ppl	31	1				460eaafd-d3ac-4e43-a333-750b985b1115	78a7c9400a203866cece5fd15de642ba	2022-03-05T02:26:02
John Smith was a photographer for the newspaper and an editor at Alameda's daily. One day he saw a car drive by with a dead dog hanging out of the back. The driver said it wasn't his problem, but John thought that he could get some work done with the dog's body in his trunk. He called Maggie, a nurse at a local hospital.	"They walked along the edge of a beach. The sea was dark. The sky was a cloudless blue. John's face was a mask of pain. He held up his hands in a gesture of surrender, and Maggie tried to talk. Her voice cracked with fear, but she kept trying to make sense of what they'd encountered and how they'd managed to reach the sand. ""Maggie was quiet, not a word spoken."	He was just an innocent, and he was taken away from his innocent life and put on a path that changed him.	They found an old car buried beneath the sand, abandoned by a young man, and he had taken Maggie's hand and was driving her away. He was driving into the sea, and they could not see him from the beach.	random	nsp	43	1				e7561eed-89f1-463f-a8f8-18c6312e7f79	09972a525822676dca9011346aa4af26	2022-03-05T02:26:15.508
Sheltering in a cabin outside South Sudan, Mason Davis, the son of a warlord, and his friend Zelena, an orphan, begin their relationship when she shows interest in his father's prized possession. He begins to doubt his own innocence and their romance begins to blossom. It is an unexpected romance—even for Mason Davis—but one they share. Their love is bound by fate—the fate of the universe. But fate also changes that destiny. It changes Mason's.	The world of South Sudan is a place of war and genocide. The world of The Walking Dead is a land where the living are not safe and the dead come back to life. Mason Davis is the only man who can find out how all these events will affect his life and his future. And when he finds out, the Walking Dead will change. What follows is a tale of a man, his family and their quest to survive in the post-apocalyptic world of a zombie apocalypse.	The universe is on the brink of change. The universe is changing. It was inevitable, and it will continue to change.	When the world is falling apart, there's one man who gets to survive.	ppl	random	42	2				e80c4111-480c-40f7-9220-b105c7370517	0d71dcaa7415070cc3073bbcd05e3240	2022-03-05T02:26:20.421
