INPUT:story_a	INPUT:story_b	INPUT:ending_a	INPUT:ending_b	INPUT:system_a	INPUT:system_b	INPUT:content_plan_id	OUTPUT:category	GOLDEN:category	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
"The two were on their way home from a romantic dinner date when they had an accident on the way and ended up on the roof of an old, dilapidated building. David and Gina were stuck in the building until they were found by a rescue helicopter. ""The pilot took them to the hospital, where David and his injured leg were taken care of by an emergency room doctor."	David Pines was a handsome young man in his mid-twenties. He had a beautiful wife, Gina Miller. He was a very successful software entrepreneur and he was well-known for his philanthropy. He and Gina were living in San Mateo County, California. The day before David's death, Gina called home to tell him she had something she had to tell David. After she hung up, Gina went to the garage to get something to read to David.	As they were being loaded into an ambulance, the pilot asked to see Gina, so she could give him her phone number.	She sat down on the steps outside the garage, and she opened the trunk and pulled out a box.	rank	nsp	17	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c54504b919eb26ccc473bb	0001d29799--61c53dfb8a7e2d04d1b1346f	0001d29799--61c54504b919eb26ccc473bb	fcde1ebc05bc9a70de0a9582b327efa1	APPROVED	2021-12-24T03:56:52.523
The pair were in Rome, the capital of the ancient world, a few years after John's disappearance. Viridilla, who had come to visit him, was visiting Rome to attend the celebration of his mother's birthday. They were both having a good time, until they were approached by the Roman senate, who asked them to investigate the disappearance of a senator named John, a fellow Roman of mixed heritage, and a man who had been considered a hero throughout the Empire.	The two women who run the bar where John works for Viridian are on an evening trip to a bar on the outskirts of Rome and are enjoying themselves with a group of strangers. The group has two bartenders and they're a little tipsy as they wait for the bar to open. Viridia is sitting on the edge of the bar and John is seated in a corner by himself. Viridia and one of her friends start flirting with him.	He vanished while walking from the Senate to the Temple of Mars, the city's sacred place for the dead. Viridi and John have two children, but their marriage is never consummated; it is a common practice.	The bartender takes her hand and puts it on John's shoulder. Viridian's hand is cold.	nsp	rank	33	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c54506333f4371ec386964	0001d29799--61c53dfb8a7e2d04d1b1347f	0001d29799--61c54506333f4371ec386964	f3b8f6f60d7ff7931950a6bcb8b3b4ae	APPROVED	2021-12-24T03:56:54.551
The pair were in Rome, the capital of the ancient world, a few years after John's disappearance. Viridilla, who had come to visit him, was visiting Rome to attend the celebration of his mother's birthday. They were both having a good time, until they were approached by the Roman senate, who asked them to investigate the disappearance of a senator named John, a fellow Roman of mixed heritage, and a man who had been considered a hero throughout the Empire.	The two women who run the bar where John works for Viridian are on an evening trip to a bar on the outskirts of Rome and are enjoying themselves with a group of strangers. The group has two bartenders and they're a little tipsy as they wait for the bar to open. Viridia is sitting on the edge of the bar and John is seated in a corner by himself. Viridia and one of her friends start flirting with him.	He vanished while walking from the Senate to the Temple of Mars, the city's sacred place for the dead. Viridi and John have two children, but their marriage is never consummated; it is a common practice.	The bartender takes her hand and puts it on John's shoulder. Viridian's hand is cold.	nsp	rank	33	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c545081d02ba772dd9d216	0001d29799--61c53dfb8a7e2d04d1b1347f	0001d29799--61c545081d02ba772dd9d216	f8355b9c44701b88228ceb93c3935964	APPROVED	2021-12-24T03:56:56.690
The pair were in Rome, the capital of the ancient world, a few years after John's disappearance. Viridilla, who had come to visit him, was visiting Rome to attend the celebration of his mother's birthday. They were both having a good time, until they were approached by the Roman senate, who asked them to investigate the disappearance of a senator named John, a fellow Roman of mixed heritage, and a man who had been considered a hero throughout the Empire.	The two women who run the bar where John works for Viridian are on an evening trip to a bar on the outskirts of Rome and are enjoying themselves with a group of strangers. The group has two bartenders and they're a little tipsy as they wait for the bar to open. Viridia is sitting on the edge of the bar and John is seated in a corner by himself. Viridia and one of her friends start flirting with him.	He vanished while walking from the Senate to the Temple of Mars, the city's sacred place for the dead. Viridi and John have two children, but their marriage is never consummated; it is a common practice.	The bartender takes her hand and puts it on John's shoulder. Viridian's hand is cold.	nsp	rank	33	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c54508386e3b51bcb0ea6c	0001d29799--61c53dfb8a7e2d04d1b1347f	0001d29799--61c54508386e3b51bcb0ea6c	f945ca556b401ee77b8bc31ef1d17f09	APPROVED	2021-12-24T03:56:56.059
In the beginning of June, the two of them were going out to an Italian restaurant where Jose was doing his best to be an ass about being a vegetarian. But it was still a tough place to be. Joan was already getting sick of Jose for being an ass. So, when it came time for lunch, they decided to go with an Italian place where Jose and a vegetarian could get together.	One of the most dangerous beings known to humans, Jose is a fierce, bloodthirsty dog who fights with the intention of killing his opponents. He is one of the few humans that can understand a dog's language, and has a very powerful psychic link to the world of the dogs. After years of living with Jose and fighting against all odds, Joan discovers that she is his daughter. But with the dog's power comes his wrath, and Jose is quick to kill.	After they eat, Jose tells her it was a bad idea and asks her to move out of the house.	She had to live with him. They had been lovers for a long time, but she had never wanted anything more than to see him dead.	rank	ppl	7	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c5450f8a0f585f1a478b6e	0001d29799--61c53dfb8a7e2d04d1b13433	0001d29799--61c5450f8a0f585f1a478b6e	f8cf396197bb28a5979734cf837dc249	APPROVED	2021-12-24T03:57:03.862
In the beginning of June, the two of them were going out to an Italian restaurant where Jose was doing his best to be an ass about being a vegetarian. But it was still a tough place to be. Joan was already getting sick of Jose for being an ass. So, when it came time for lunch, they decided to go with an Italian place where Jose and a vegetarian could get together.	One of the most dangerous beings known to humans, Jose is a fierce, bloodthirsty dog who fights with the intention of killing his opponents. He is one of the few humans that can understand a dog's language, and has a very powerful psychic link to the world of the dogs. After years of living with Jose and fighting against all odds, Joan discovers that she is his daughter. But with the dog's power comes his wrath, and Jose is quick to kill.	After they eat, Jose tells her it was a bad idea and asks her to move out of the house.	She had to live with him. They had been lovers for a long time, but she had never wanted anything more than to see him dead.	rank	ppl	7	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c5451fe8bb210997c92aed	0001d29799--61c53dfb8a7e2d04d1b13433	0001d29799--61c5451fe8bb210997c92aed	fcde1ebc05bc9a70de0a9582b327efa1	APPROVED	2021-12-24T03:57:19.120
In the beginning of June, the two of them were going out to an Italian restaurant where Jose was doing his best to be an ass about being a vegetarian. But it was still a tough place to be. Joan was already getting sick of Jose for being an ass. So, when it came time for lunch, they decided to go with an Italian place where Jose and a vegetarian could get together.	One of the most dangerous beings known to humans, Jose is a fierce, bloodthirsty dog who fights with the intention of killing his opponents. He is one of the few humans that can understand a dog's language, and has a very powerful psychic link to the world of the dogs. After years of living with Jose and fighting against all odds, Joan discovers that she is his daughter. But with the dog's power comes his wrath, and Jose is quick to kill.	After they eat, Jose tells her it was a bad idea and asks her to move out of the house.	She had to live with him. They had been lovers for a long time, but she had never wanted anything more than to see him dead.	rank	ppl	7	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c5452cf327c2360f67fbca	0001d29799--61c53dfb8a7e2d04d1b13433	0001d29799--61c5452cf327c2360f67fbca	f3b8f6f60d7ff7931950a6bcb8b3b4ae	APPROVED	2021-12-24T03:57:32.462
On a day like any other, John and Ciaran went to the store to pick up supplies for their upcoming visit to the house. Ciarán was excited about getting his haircut and John, who was in the shower, had just gotten out of the shower. They got back to the apartment, where Cheryl was still changing her clothes. John asked for a drink of water, and Cian said that he wanted to shower with John first.	John and Cheryl had decided that they'd get a divorce. They'd never been married, and they'd always been in the midst of an argument that had escalated to violence. John had left the house, locked the door behind him, and walked into the woods. Cheryl had followed him, but after a brief conversation with her father and a call to an ex-boyfriend from his stepmother, she had walked out to the car.	They both went into the shower together. The water was lukewarm and Crian could feel his skin starting to warm.	After John had walked down the driveway, he came up behind Cheryl in her driveway and punched her in the face with both fists.	nsp	rank	2	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c5453802cd844e1e299c83	0001d29799--61c53dfb8a7e2d04d1b13460	0001d29799--61c5453802cd844e1e299c83	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:57:44.795
On a day like any other, John and Ciaran went to the store to pick up supplies for their upcoming visit to the house. Ciarán was excited about getting his haircut and John, who was in the shower, had just gotten out of the shower. They got back to the apartment, where Cheryl was still changing her clothes. John asked for a drink of water, and Cian said that he wanted to shower with John first.	John and Cheryl had decided that they'd get a divorce. They'd never been married, and they'd always been in the midst of an argument that had escalated to violence. John had left the house, locked the door behind him, and walked into the woods. Cheryl had followed him, but after a brief conversation with her father and a call to an ex-boyfriend from his stepmother, she had walked out to the car.	They both went into the shower together. The water was lukewarm and Crian could feel his skin starting to warm.	After John had walked down the driveway, he came up behind Cheryl in her driveway and punched her in the face with both fists.	nsp	rank	2	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c5453c6382b60935bce169	0001d29799--61c53dfb8a7e2d04d1b13460	0001d29799--61c5453c6382b60935bce169	fcde1ebc05bc9a70de0a9582b327efa1	APPROVED	2021-12-24T03:57:48.349
On a day like any other, John and Ciaran went to the store to pick up supplies for their upcoming visit to the house. Ciarán was excited about getting his haircut and John, who was in the shower, had just gotten out of the shower. They got back to the apartment, where Cheryl was still changing her clothes. John asked for a drink of water, and Cian said that he wanted to shower with John first.	John and Cheryl had decided that they'd get a divorce. They'd never been married, and they'd always been in the midst of an argument that had escalated to violence. John had left the house, locked the door behind him, and walked into the woods. Cheryl had followed him, but after a brief conversation with her father and a call to an ex-boyfriend from his stepmother, she had walked out to the car.	They both went into the shower together. The water was lukewarm and Crian could feel his skin starting to warm.	After John had walked down the driveway, he came up behind Cheryl in her driveway and punched her in the face with both fists.	nsp	rank	2	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c5454265a3257833de0919	0001d29799--61c53dfb8a7e2d04d1b13460	0001d29799--61c5454265a3257833de0919	ee2f754ee6655596a0885d6894a845cb	APPROVED	2021-12-24T03:57:54.260
After selling cocaine on the street, the drug kingpin Jose Gomes, known by his street name of 'El Loco', returns home to his family to find that he is being robbed of everything he owns. To make up for what he has lost, he decides to sell his girlfriend, the beautiful, talented singer Luiz Fazenda, on the side.	In an early morning, the Portuguese police officers were looking for the missing Luiz and Jose. They were in a hurry to arrest them and take them to jail. They found the two men and a woman, who was waiting for them in the street. They didn't know her, but she was Jose's girlfriend and they were both waiting in the waiting room to take them there. She was so nervous and nervous that she was sweating and her eyes were watering.	In the end, El Loco has to sell Luiz. He is desperate to make enough to save himself, and she is the only one who can buy back his life.	And it was a lovely day, sunny and warm. And they were on their way home and Jose and Luiz were on the side of the road.	rank	ppl	28	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c54545cb0a6839084a7988	0001d29799--61c53dfb8a7e2d04d1b13448	0001d29799--61c54545cb0a6839084a7988	f945ca556b401ee77b8bc31ef1d17f09	APPROVED	2021-12-24T03:57:57.553
After selling cocaine on the street, the drug kingpin Jose Gomes, known by his street name of 'El Loco', returns home to his family to find that he is being robbed of everything he owns. To make up for what he has lost, he decides to sell his girlfriend, the beautiful, talented singer Luiz Fazenda, on the side.	In an early morning, the Portuguese police officers were looking for the missing Luiz and Jose. They were in a hurry to arrest them and take them to jail. They found the two men and a woman, who was waiting for them in the street. They didn't know her, but she was Jose's girlfriend and they were both waiting in the waiting room to take them there. She was so nervous and nervous that she was sweating and her eyes were watering.	In the end, El Loco has to sell Luiz. He is desperate to make enough to save himself, and she is the only one who can buy back his life.	And it was a lovely day, sunny and warm. And they were on their way home and Jose and Luiz were on the side of the road.	rank	ppl	28	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c5454c803113280d7f2d08	0001d29799--61c53dfb8a7e2d04d1b13448	0001d29799--61c5454c803113280d7f2d08	fc1c3ebc4e89e40d13be35849d5bc7d6	APPROVED	2021-12-24T03:58:04.042
After selling cocaine on the street, the drug kingpin Jose Gomes, known by his street name of 'El Loco', returns home to his family to find that he is being robbed of everything he owns. To make up for what he has lost, he decides to sell his girlfriend, the beautiful, talented singer Luiz Fazenda, on the side.	In an early morning, the Portuguese police officers were looking for the missing Luiz and Jose. They were in a hurry to arrest them and take them to jail. They found the two men and a woman, who was waiting for them in the street. They didn't know her, but she was Jose's girlfriend and they were both waiting in the waiting room to take them there. She was so nervous and nervous that she was sweating and her eyes were watering.	In the end, El Loco has to sell Luiz. He is desperate to make enough to save himself, and she is the only one who can buy back his life.	And it was a lovely day, sunny and warm. And they were on their way home and Jose and Luiz were on the side of the road.	rank	ppl	28	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c5455a654e2775e485552e	0001d29799--61c53dfb8a7e2d04d1b13448	0001d29799--61c5455a654e2775e485552e	f3b8f6f60d7ff7931950a6bcb8b3b4ae	APPROVED	2021-12-24T03:58:18.592
"A young woman in her thirties named Samantha is a self-proclaimed genius."" After hearing that a new man could see through things she couldn't, she decides to see if he could do so for her too. But as Benjamin Franklin begins to help her, his own problems get in the way, and a series of surprising events threatens to reveal to her the depths of her abilities."	"Samantha and Benjamin are a successful and successful family. She is a high-priced executive who makes sure that everything is done properly. He is a self-confessed slacker"" who likes to drink beer and play with his computer. But what is their secret? When Benjamin starts having nightmares of a woman in a yellow dress, Samantha and Benjamin realize they are a couple."	She finds that, as she sees it, she's the genius and that his inability to see it for her is his greatest fault.	In the end the two have an argument, and when Benjamin tells her that he's leaving, she breaks down crying. She goes to call her best friend, but then decides to wait for him.	nsp	rank	34	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c54574417de80275038cf4	0001d29799--61c53dfb8a7e2d04d1b13480	0001d29799--61c54574417de80275038cf4	f3b8f6f60d7ff7931950a6bcb8b3b4ae	APPROVED	2021-12-24T03:58:44.376
"A young woman in her thirties named Samantha is a self-proclaimed genius."" After hearing that a new man could see through things she couldn't, she decides to see if he could do so for her too. But as Benjamin Franklin begins to help her, his own problems get in the way, and a series of surprising events threatens to reveal to her the depths of her abilities."	"Samantha and Benjamin are a successful and successful family. She is a high-priced executive who makes sure that everything is done properly. He is a self-confessed slacker"" who likes to drink beer and play with his computer. But what is their secret? When Benjamin starts having nightmares of a woman in a yellow dress, Samantha and Benjamin realize they are a couple."	She finds that, as she sees it, she's the genius and that his inability to see it for her is his greatest fault.	In the end the two have an argument, and when Benjamin tells her that he's leaving, she breaks down crying. She goes to call her best friend, but then decides to wait for him.	nsp	rank	34	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c5457d74aec512095b03e9	0001d29799--61c53dfb8a7e2d04d1b13480	0001d29799--61c5457d74aec512095b03e9	f945ca556b401ee77b8bc31ef1d17f09	APPROVED	2021-12-24T03:58:53.788
"A young woman in her thirties named Samantha is a self-proclaimed genius."" After hearing that a new man could see through things she couldn't, she decides to see if he could do so for her too. But as Benjamin Franklin begins to help her, his own problems get in the way, and a series of surprising events threatens to reveal to her the depths of her abilities."	"Samantha and Benjamin are a successful and successful family. She is a high-priced executive who makes sure that everything is done properly. He is a self-confessed slacker"" who likes to drink beer and play with his computer. But what is their secret? When Benjamin starts having nightmares of a woman in a yellow dress, Samantha and Benjamin realize they are a couple."	She finds that, as she sees it, she's the genius and that his inability to see it for her is his greatest fault.	In the end the two have an argument, and when Benjamin tells her that he's leaving, she breaks down crying. She goes to call her best friend, but then decides to wait for him.	nsp	rank	34	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c5457e74fdb82592ddb7ff	0001d29799--61c53dfb8a7e2d04d1b13480	0001d29799--61c5457e74fdb82592ddb7ff	f8cf396197bb28a5979734cf837dc249	APPROVED	2021-12-24T03:58:54.108
There were three women working on a job site near the airport. One was Joe, the one in charge, and the two others were Rochelle, his secretary, and a young woman who had been hired to look after him. Joe had been laid off from his previous job and his wife had just found out that he had been diagnosed with a terminal illness. She had suggested that they find a way of keeping him employed for the next few days so that he could see his family and friends.	It had been one of those typical days. Joe was running his usual rounds around the station, keeping the rest of his team happy and busy. Rochelle had been working in the food department. They were sitting in their usual table in the canteen with a few other crew members. Joe, wearing his usual fedora, was reading a book while Rochelle was drinking her usual coffee. Joe's attention was drawn to an announcement on the PA system.	In the end, he is back at work, and Rochelle is still at the office.	A small group of humans and alien crewmates have become trapped within the station. They are all fighting for their lives.	rank	nsp	36	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c54583d4572a7c7fc530c4	0001d29799--61c53dfb8a7e2d04d1b13482	0001d29799--61c54583d4572a7c7fc530c4	fcde1ebc05bc9a70de0a9582b327efa1	APPROVED	2021-12-24T03:58:59.776
There were three women working on a job site near the airport. One was Joe, the one in charge, and the two others were Rochelle, his secretary, and a young woman who had been hired to look after him. Joe had been laid off from his previous job and his wife had just found out that he had been diagnosed with a terminal illness. She had suggested that they find a way of keeping him employed for the next few days so that he could see his family and friends.	It had been one of those typical days. Joe was running his usual rounds around the station, keeping the rest of his team happy and busy. Rochelle had been working in the food department. They were sitting in their usual table in the canteen with a few other crew members. Joe, wearing his usual fedora, was reading a book while Rochelle was drinking her usual coffee. Joe's attention was drawn to an announcement on the PA system.	In the end, he is back at work, and Rochelle is still at the office.	A small group of humans and alien crewmates have become trapped within the station. They are all fighting for their lives.	rank	nsp	36	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c54586333f4371ec386b4f	0001d29799--61c53dfb8a7e2d04d1b13482	0001d29799--61c54586333f4371ec386b4f	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:59:02.005
There were three women working on a job site near the airport. One was Joe, the one in charge, and the two others were Rochelle, his secretary, and a young woman who had been hired to look after him. Joe had been laid off from his previous job and his wife had just found out that he had been diagnosed with a terminal illness. She had suggested that they find a way of keeping him employed for the next few days so that he could see his family and friends.	It had been one of those typical days. Joe was running his usual rounds around the station, keeping the rest of his team happy and busy. Rochelle had been working in the food department. They were sitting in their usual table in the canteen with a few other crew members. Joe, wearing his usual fedora, was reading a book while Rochelle was drinking her usual coffee. Joe's attention was drawn to an announcement on the PA system.	In the end, he is back at work, and Rochelle is still at the office.	A small group of humans and alien crewmates have become trapped within the station. They are all fighting for their lives.	rank	nsp	36	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c5459165a3257833de0b3e	0001d29799--61c53dfb8a7e2d04d1b13482	0001d29799--61c5459165a3257833de0b3e	ee2f754ee6655596a0885d6894a845cb	APPROVED	2021-12-24T03:59:13.111
In 1938, during the last year of the Spanish Civil War, Hitler made an unexpected visit to Nestora de la Paz. When the Nazi general asked her if he could stay for a week to see her and her son, Adolf, she was quite reluctant to grant him this favor, but Nestora had been secretly hoping to have a meeting with Hitler for some time.	When the SS came to arrest Adolf Hitler in a café in a quiet little town in northern Spain. Nestora, his young wife, took the young children with her. They were her last hope, and she didn't want them to be separated from her. But the SS was determined to arrest him, and they took away her children. She would do whatever she could to protect them.	In the end, she had no choice. The General was waiting for her and he told her that the next day he would be with her to take her to the front.	After a few more seconds, he was no more.	rank	random	14	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c5459ab8375918ec7e9f37	0001d29799--61c53dfb8a7e2d04d1b1349e	0001d29799--61c5459ab8375918ec7e9f37	fc1c3ebc4e89e40d13be35849d5bc7d6	APPROVED	2021-12-24T03:59:22.247
In 1938, during the last year of the Spanish Civil War, Hitler made an unexpected visit to Nestora de la Paz. When the Nazi general asked her if he could stay for a week to see her and her son, Adolf, she was quite reluctant to grant him this favor, but Nestora had been secretly hoping to have a meeting with Hitler for some time.	When the SS came to arrest Adolf Hitler in a café in a quiet little town in northern Spain. Nestora, his young wife, took the young children with her. They were her last hope, and she didn't want them to be separated from her. But the SS was determined to arrest him, and they took away her children. She would do whatever she could to protect them.	In the end, she had no choice. The General was waiting for her and he told her that the next day he would be with her to take her to the front.	After a few more seconds, he was no more.	rank	random	14	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c5459b74fdb82592ddb84d	0001d29799--61c53dfb8a7e2d04d1b1349e	0001d29799--61c5459b74fdb82592ddb84d	f30bffa774ccd7f850af8b1bb2ee202e	APPROVED	2021-12-24T03:59:23.526
In 1938, during the last year of the Spanish Civil War, Hitler made an unexpected visit to Nestora de la Paz. When the Nazi general asked her if he could stay for a week to see her and her son, Adolf, she was quite reluctant to grant him this favor, but Nestora had been secretly hoping to have a meeting with Hitler for some time.	When the SS came to arrest Adolf Hitler in a café in a quiet little town in northern Spain. Nestora, his young wife, took the young children with her. They were her last hope, and she didn't want them to be separated from her. But the SS was determined to arrest him, and they took away her children. She would do whatever she could to protect them.	In the end, she had no choice. The General was waiting for her and he told her that the next day he would be with her to take her to the front.	After a few more seconds, he was no more.	rank	random	14	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c545a59e9ad906ecf9e9d2	0001d29799--61c53dfb8a7e2d04d1b1349e	0001d29799--61c545a59e9ad906ecf9e9d2	f3b8f6f60d7ff7931950a6bcb8b3b4ae	APPROVED	2021-12-24T03:59:33.985
John Smith and his wife Anna Jones are the most famous of New York's super-powered citizens. When they become aware that a young man, John Smith Jr., is a mutant, they send the son of the first of their number to find him and convince him to come back to New York as a human. Unfortunately, John's wife Anna has another son. The second son is called Jack.	When the U.S. government decides to make John Smith the first human to walk on Mars, John Smith finds out that he has to be an extraordinary man and god. It begins with John, an American, and Anna, a Canadian, living in New Orleans. John is working for a Canadian-owned mining company, which has an office in New City, the heart of the old New Orleans, and is planning to relocate to Mars to mine a rare earth element.	A new family, born of love, comes to New Orleans with a new identity, with new hopes and dreams for their new life.	John is not a god. He is a man who is forced to become one, and it is not because of his own good fortune, but because he is not entirely human.	random	rank	38	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c545a66382b60935bce39b	0001d29799--61c53dfb8a7e2d04d1b134b6	0001d29799--61c545a66382b60935bce39b	f0d29388e43fb51bf4f303eb728f7853	APPROVED	2021-12-24T03:59:34.908
John Smith and his wife Anna Jones are the most famous of New York's super-powered citizens. When they become aware that a young man, John Smith Jr., is a mutant, they send the son of the first of their number to find him and convince him to come back to New York as a human. Unfortunately, John's wife Anna has another son. The second son is called Jack.	When the U.S. government decides to make John Smith the first human to walk on Mars, John Smith finds out that he has to be an extraordinary man and god. It begins with John, an American, and Anna, a Canadian, living in New Orleans. John is working for a Canadian-owned mining company, which has an office in New City, the heart of the old New Orleans, and is planning to relocate to Mars to mine a rare earth element.	A new family, born of love, comes to New Orleans with a new identity, with new hopes and dreams for their new life.	John is not a god. He is a man who is forced to become one, and it is not because of his own good fortune, but because he is not entirely human.	random	rank	38	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c545a9b362dd42937755c1	0001d29799--61c53dfb8a7e2d04d1b134b6	0001d29799--61c545a9b362dd42937755c1	fcde1ebc05bc9a70de0a9582b327efa1	APPROVED	2021-12-24T03:59:37.926
John Smith and his wife Anna Jones are the most famous of New York's super-powered citizens. When they become aware that a young man, John Smith Jr., is a mutant, they send the son of the first of their number to find him and convince him to come back to New York as a human. Unfortunately, John's wife Anna has another son. The second son is called Jack.	When the U.S. government decides to make John Smith the first human to walk on Mars, John Smith finds out that he has to be an extraordinary man and god. It begins with John, an American, and Anna, a Canadian, living in New Orleans. John is working for a Canadian-owned mining company, which has an office in New City, the heart of the old New Orleans, and is planning to relocate to Mars to mine a rare earth element.	A new family, born of love, comes to New Orleans with a new identity, with new hopes and dreams for their new life.	John is not a god. He is a man who is forced to become one, and it is not because of his own good fortune, but because he is not entirely human.	random	rank	38	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c545afaf898e1caec0509c	0001d29799--61c53dfb8a7e2d04d1b134b6	0001d29799--61c545afaf898e1caec0509c	f30bffa774ccd7f850af8b1bb2ee202e	APPROVED	2021-12-24T03:59:43.774
The two friends were sitting on a couch when Bob asked Mary if she could play an instrument and she said she could. Mary, who had been practicing every day, had a lovely voice, and she played some wonderful songs. Bob, who was a musician himself, was very impressed. He then proposed that they get together and practice together. Mary was excited about the possibility, and they spent most of their free time together in her room. They talked about the things they loved.	On a hot summer day in California, the family of Bob and Maureen McKean, who has lived here all her life, has a long-awaited reunion with Maureen's daughter Mary. Mary is eager to see her, and Bob wants her to have a good time. Mary knows the McKeans are a nice, upstanding family, but she is surprised by their attitude toward the couple who have lived here for many years.	They had a great time. They played their favorite songs and ate ice cream. They had lots of laughs and talked about their lives and their love for each other.	When they left, it was a different family, different neighborhood, different everything. But they were all happy to see each other and have the time of their lives.	ppl	rank	0	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c545b237f4ac13d1ae2dbe	0001d29799--61c53dfb8a7e2d04d1b1342c	0001d29799--61c545b237f4ac13d1ae2dbe	f5afeb4d13317dfe1d52432820d3dbc6	APPROVED	2021-12-24T03:59:46.308
The two friends were sitting on a couch when Bob asked Mary if she could play an instrument and she said she could. Mary, who had been practicing every day, had a lovely voice, and she played some wonderful songs. Bob, who was a musician himself, was very impressed. He then proposed that they get together and practice together. Mary was excited about the possibility, and they spent most of their free time together in her room. They talked about the things they loved.	On a hot summer day in California, the family of Bob and Maureen McKean, who has lived here all her life, has a long-awaited reunion with Maureen's daughter Mary. Mary is eager to see her, and Bob wants her to have a good time. Mary knows the McKeans are a nice, upstanding family, but she is surprised by their attitude toward the couple who have lived here for many years.	They had a great time. They played their favorite songs and ate ice cream. They had lots of laughs and talked about their lives and their love for each other.	When they left, it was a different family, different neighborhood, different everything. But they were all happy to see each other and have the time of their lives.	ppl	rank	0	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c545bd129ade633622a3e6	0001d29799--61c53dfb8a7e2d04d1b1342c	0001d29799--61c545bd129ade633622a3e6	e8b79927dd9b11cf753c6a37d3338585	APPROVED	2021-12-24T03:59:57.826
The two friends were sitting on a couch when Bob asked Mary if she could play an instrument and she said she could. Mary, who had been practicing every day, had a lovely voice, and she played some wonderful songs. Bob, who was a musician himself, was very impressed. He then proposed that they get together and practice together. Mary was excited about the possibility, and they spent most of their free time together in her room. They talked about the things they loved.	On a hot summer day in California, the family of Bob and Maureen McKean, who has lived here all her life, has a long-awaited reunion with Maureen's daughter Mary. Mary is eager to see her, and Bob wants her to have a good time. Mary knows the McKeans are a nice, upstanding family, but she is surprised by their attitude toward the couple who have lived here for many years.	They had a great time. They played their favorite songs and ate ice cream. They had lots of laughs and talked about their lives and their love for each other.	When they left, it was a different family, different neighborhood, different everything. But they were all happy to see each other and have the time of their lives.	ppl	rank	0	1				https://toloka.yandex.ru/task/30578585/0001d29799--61c545c254fd1476dfb13c56	0001d29799--61c53dfb8a7e2d04d1b1342c	0001d29799--61c545c254fd1476dfb13c56	f945ca556b401ee77b8bc31ef1d17f09	APPROVED	2021-12-24T04:00:02.482
It was a beautiful day. The sun was shining, the sky was clear and warm, the water was sparkling and the birds were singing, as it had been for the past weeks, and there was no one else in the world except Peter Hagan and Evelynn. Peter was a quiet man, but he was strong. The day's work was done and it was time for a nap in his own living room. He woke up, looked around, and smiled.	"In the first season of the television series, a young man named Peter Hagan is chosen as the new pilot for the legendary Dangerous Space Station"" and is forced to live on board the ship for a year as a security guard. The show's most popular character is its captain, Evelyn, a blonde, red-eyed woman with green eyes and short hair."	And Peter woke up and he felt that he was still alive.	Evelyn has an encounter with a man called John in the course of her duties. It is a brief but important encounter. She is not quite sure what to make of him.	random	rank	46	2				https://toloka.yandex.ru/task/30578585/0001d29799--61c545c3902d01004e5a863c	0001d29799--61c53dfb8a7e2d04d1b134be	0001d29799--61c545c3902d01004e5a863c	f3b8f6f60d7ff7931950a6bcb8b3b4ae	APPROVED	2021-12-24T04:00:03.460
