genre,theme,location,actor,actress,story,ending
mystery,What does that mean?,Fayette County,Trevor Adams,Karen,"Karen was at work when she heard from Trevor that she had been selected to work for an organization. She got a call a few hours later telling her that they had an urgent matter. She went in for an interview and found a man who was supposed to meet with her in a few days to discuss the matter. The next day, Karen was called into a conference room. The man told her that she was not to mention the matter to anyone else, and she would be dismissed.","In the end, Trevor has a plan. And he has it in his head. That he's going to get rid of his past."
bodyscapes,A man who has spent all his money on drugs goes to prison for a long time.,King,Josiah,Tinasha,"When the gang leader Josiah returns from prison, it's not long before he has the local drug dealer Tinasha on the ropes. She's also on her way to an arranged marriage to a drug kingpin, but when Josiah finds out about the affair, his anger leads to a gunfight and Tin Sasha's murder.",A young man in prison for years has his life turned around when he is brought to meet a girl he has fallen in love with. The man's life is saved and he's given hope.
thrillers,They went from being the same person to not being the person they were.,New York City,Tom Ferebee,Aubrie,"The two former partners were working with an ambitious private investigator named Tom Ferenbee. But while Ferebie was making headway in catching a murderer in his own city, Aubrie and his brother were falling apart. They began a relationship that, although romantic at the time, was no longer satisfying to them.","Tom is forced to confront his old feelings for his long lost lover when he witnesses the murder of his partner, and is left with a terrible feeling about what they are all still going through."
fiction,Never trust a man who is not smiling.,Germany,Boris Schick,Catherine,"As a young man, Boris Schicker had a knack for the dramatic, a gift that would serve him well in his new role as an officer in the SS. He had the perfect looks and a perfect smile. He was tall, with blue eyes and a full, rosy complexion. When he met Catherine, she looked nothing like the beautiful woman he knew from his high school days. But he had never met a woman like Catherine. They immediately hit it off.","It was at the end of May 1941, just before the Battle of Britain began, that Catherine Schicker was finally taken off the ship and put aboard the Lusitania."
literary fiction,A young boy is thrown in a labyrinth and has to solve his own murders.,Alameda County,John T. Smith,Sarah,"The boy was a very bright child, he was a good student in school, and he was always cheerful. In addition, he and his brother were the oldest children of a wealthy family. When his parents retired, they left John, Sarah, and the house to the two of them, but never did anything to make John or Sarah happy. Sarah had become a bitter woman and the boy seemed to suffer from depression and anxiety.","But the door was closed, and there was nothing anyone could do. Sarah closed her eyes and fell into a deep, dreamless sleep."
novel for kids,The girl who loves the sun.,Belfast,Theodore Roosevelt,Tiffany,"Tiffany and Theodore are the best of friends, and they are not the only ones. Tiffany's boyfriend, Peter, was killed in a car accident, and Theodore had a girlfriend who had just broken up with him. As a result, he is determined to find out who killed Peter and find her so that he can get revenge on the people who murdered him.","Tiffany, the girl who really loves the light...
"
cthulhu,the first sign of the apocalypse was the disappearance of the last of the gods,Rome,Pius XII,Julia,"In the year 1612, Pope Pius II was exiled by an alliance of Italian factions, including the one that overthrew him. This faction included the pope's brother, the future Pope Urban II. The exiled pope moved to the Italian city of Rome, where the last vestiges of the Vatican remained. Here, the pope began a new papal career as an ascetic and the first sign that the apocalypse would be upon us was the disappearing of the Last of the Gods.","A new world, one not of gold and silver, but of gold, silver, and the smell of burning sulfur. The world that is. The new world has been born. It will rise out of the ashes and burn the ashes."
cthulhu,The Necronomicon,King County,John,Jane,"The two of them were walking home from a bar, Jane's arm around John's shoulders, when they stopped suddenly and looked up. It was a small, dark street lined with houses in different styles and designs. On the corner, a row of shops had a sign that said The Library"" and were full of people reading, and some were even writing or talking to each other.","John said.
He looked down at Jane, who had closed her eyes for a moment. She had no expression, but she seemed to be thinking. "
aeroplane,Aircraft are the most efficient forms of mass transport available in the 21st century,Detroit,Sam Jones,Amber Lee,"It had been two years since the world had seen the great Sam Jones, or Amber Lee. He was a fighter pilot, but that had been a while. For the past few months, he had been the most experienced pilot in the world – and now he was a passenger on an aeroplaineer that would take him across the Atlantic to America. They had been told it would be an easy trip. It had, of course, been nothing of the kind.","A large, old plane had just landed in the middle of the desert, with a huge, heavy man on board. He looked like a man out of a nightmare. He had his helmet off, but he was staring straight at Sam."
novel for kids,A child's best friend. A dog that is always loyal and gentle.,"Taos, NM",George William Miller III,Tasha,"George William Miller is a quiet, well-mannered teenager who wants to live in Tijuana with his mother, a schoolteacher in a tiny town, but his mother refuses. Instead, he decides to move in with his younger sister Tasha, a high-school dropout who has just moved to town with her boyfriend, George's older brother, Billy.","It was not a long night. In fact, it was only three days, for the last three nights of the spring term the two of them had been asleep with the door locked and the blinds drawn."
mystery,The Man Who Could See.,South Sudan,Mason Davis,Rita,"Mason Davis, a high-ranking U.N. official, and his family travel to South Sudan for a mission. After arriving in the country, he and Rita Davis, his wife, begin their stay as guests in a small town. In the beginning, they feel that they have found the ideal place to live, with everything they need. But soon their happiness is put on hold when they realize the place is a hotbed of corruption, violence and a growing rebellion.","Rita died. There is a picture of her. It is a family picture, taken at her funeral."
science fiction,"If it ain't broke, don't fix it.",San Francisco,The Captain,Hilda,"The Captain is a space-faring, female, human-hating, time travelling, sentient robot who is part of the resistance against the evil alien race, The Covenant, which has invaded Earth and is attempting to conquer the human race. Hilda is a highly intelligent, female alien who was kidnapped as a child and was trained as a soldier. During her captivity, the Covenant had brainwashed her, and has been trying to take over the Earth ever since.","They're not here. The Captain got away, but they're still on Earth, and they're not alone."
science-fiction,"It is the future, so don't be a moron about this.",Gotham,Batman,Batgirl,"It Is the Future, So Don't Be a Moron About This.
In this future Gotham City, crime and corruption are rampant. As a means of coping with this, Batman enlists the help of Batgirl, who helps him stop the villain, Black Mask. Batgirl is a highly skilled and athletic young girl who is very strong. She has trained herself in martial arts, which is not a coincidence.",But Batman isn't in the future. He is in the present.
dark fantasy,"It's a tale of the dead,",Yukon,John Doe,Gabby,"John Doe and his girlfriend, Gabby, are the last ones of their town. After losing all their friends and loved ones, they find each other in the middle of a forest clearing in the dead of winter.
The two are stranded. John and Gab are alone. The forest is a strange place. In the dead winter they have to find a way to get home. But the world is different this year.","It is a tale that begins with the last person to die in the town of Linton, Illinois, but ends with the second to die, a young woman named Gabby."
dying earth,It is a very interesting way to show a dying world.,Seattle,Dwayne Thomas Davis,Sally,"Dwayne Thomas and Sally are a couple of guys in their 50s in a very boring job working for an oil company, their marriage is on the rocks, and when Sally is diagnosed with cancer they decide to leave Seattle and head to the coast. But after a night on the town Dwayne gets drunk and gets into a fight with his wife. The fight breaks her leg, Dwayne then throws her to the ground, but then gets arrested.","It's very interesting to be in a world in which there are still places and places where human beings can survive,"
mystery,One day at a time.,Mendouville,James Michael McNeil,Katarina,"The two of them live a peaceful life, living in Mendoza, when James Michael comes to visit Katarinas father for the weekend.
However, things don't quite go as James wants. He is kidnapped by a man known as 'Mr. H' and taken to a room at a local motel.
While James is being held captive, Mr. H takes pictures of him and his sister and then takes James to the beach where they are both brutally raped.","After being raped, James Michael was sent back to his father's house."
bodyscapes,All men are brothers.,Spain,John Brown,Diana Sanchez,"When a Spanish girl is taken hostage by a madman who is looking for Diana Sanchez, John Brown is sent to the remote mountain town where she was held captive in the hopes that a local band of brothers could provide a way to free her. But John is no simple knight. He is a man who's dedicated his life to the protection of the innocent and the protection and defense of the downtrodden, and now he must find a way that both groups can be reconciled.",Diana Sanchez was not a woman who had lost her mind. She had been a real human being.
science-fiction,"It is the future, so don't be a moron about this.",Majuro,Naoi,Bryanna,"Naoi is a young girl with the ability to foresee the future and help people to change their course, even as a small child. Bryanna is a strong-willed, but slightly-frail woman, who loves her country. They meet in a cafe and are soon in love, but their happiness proves to be fleeting. Nao, who's been trained by a scientist, sees a dark side to everything.",There's a storm coming. It's coming from the future. It'll destroy everything. And the future is very dark. It doesn't look good for us... So don't look at the future or the present. Just keep breathing.
the book of job,The best way to help a customer is to give them a reason to stay.,Bran,Tyrion,Lady Arya,"Bran Stark, the last of his line, is the last man in the world who can defeat the undead. When a mysterious visitor asks for his help, he discovers he is being manipulated by his family. His sister Arya, with the help of her new friend Joffrey, sets out on a quest to find the Seven Kingdoms' last true king.
Arya and Tyrion have a long-time romantic relationship.",Aryas and Tyrions make it into King's Landing after the Red Wedding and have a nice conversation about family.
novel for kids,A child's best friend. A dog that is always loyal and gentle.,Dalmani,Yaakov,Luna,"Rabbi Yaakov the Wise is a man of great integrity and intelligence. He is the leader of the Talmud students, a great master of Talmudic studies and a teacher of Torah. He has a deep understanding of all things that are within the world. When Yaakov goes on a trip to a distant city, he becomes very ill with a terrible fever. On his return, he meets the young girl Luna and falls in love with her.",A boy's best friends. A faithful dog who will always be loyal and always be gentle.
cinema,"The Doctor must leave London and take on a new companion, but the time is right.",Afghanistan,Hafiz,Sarah,"With the Doctor and Sarah leaving for Afghanistan, the new companion arrives at the BBC. She's an actress, the wife of the man she plays – and she's a bit of a rebel. ""The new companion is Sarah Jane Smith, a former British soldier, who has been cast as a female soldier in Afghanistan. As Sarah and the Doctor travel, the war takes on a personal tone.""
In the synopsis the word ""trouble"" appears in the first sentence.","After leaving London, the Doctor returns to London, only to discover that Sarah Jane has gone missing in Afghanistan."
aeroplane,Aircraft are the most efficient forms of mass transport available in the 21st century,Afghanistan,Samiullah,Sarah,"Alfredo and a gang of mercenaries led by a former marine sergeant, Samiulla, travel to a remote part of Afghanistan in search of the legendary T-72 tank, and the elusive Taliban"", whose sole purpose is to wipe out the entire Western world. The two men's journey takes a dark turn when Samiullah and his army of mercenaries kidnap Alfredo's girlfriend, Sarah, and force her to work in a war-ravaged Kabul.","It seems like they were just after the tank, but it was all a trap"
mystery,A man can be so proud of himself that he will do anything.,North,Jaeger,Jenny,"Jaeger and his team were sent to investigate an underground waterway near Seoul where the military were found to be using it as a dumping ground for weapons and explosives. After they were discovered, he and Jenny found a man they called Mr. K who was able to escape with his own team. After a confrontation with him, the team found an abandoned underground military base. It turned out that the base was being run by the military and Mr.","Jaeger, in his desperation to save the city, was willing to sacrifice a man he just met, a man who he loved so much."
the book of job,The best way to help a customer is to give them a reason to stay.,Kerala,Praveen,Durga,"Praveen, a college graduate working as a shopkeeper, had no trouble in making ends meet. Durga, a school teacher in a village nearby, earned more from teaching children. As they traveled through the country and interacted with people, they developed a fondness for a group of people, the Kalyani tribe. After visiting several villages, they settled in Kalyan. The tribespeople helped them with their shop and even cooked them dinner.","In the end, the most important thing in any life is to help those who are less fortunate."
the dark forest,"In the dark, a man's heart may die.",Bristol,William,Dawn,"In 1845, when William and his wife, Dawn, returned to Bristol from India, they found their daughter, Mary, dying. Their family had been forced into exile. As their grief worsened, the two decided to take their baby to America and leave behind their impoverished country. At sea, the ship was boarded and the crew was slaughtered, and the two men were imprisoned. They were sold into slavery.",A man's life must be changed. And a man must lose the will to live.
empathy,"He was a tall, thin man with glasses, who had a dark complexion and a full head of hair.",Mack,James Mckinnon,Jane,"The two men met one summer day at the beach. James was a boy of ten, wearing a t-shirt and shorts, with long, curly brown hair. He was skinny, and his voice was thin and gravelly. The other man, Jane, was a young woman, with a thick black mane of hair and deep-set eyes. She was dressed in a long white shirt and jeans. The two men walked to the edge of the water, looking out at the blue ocean.","James was on his back with his feet in the sand, staring out over the ocean. He felt so alone. As Jane came up to him, he noticed her eyes. They were deep and black and full of understanding, which he immediately understood."
the great american novel,A work of fiction based on reality that is told to the public as part of a theater.,Germany,Boris Schick,Klara,"A young man, Klara, from the Russian town of Novogorodsk, is trying to come to grips with the death of his sister, who has been killed in a car accident. He goes to Novogorbach to see his brother Boris, an old friend, but after two weeks Boris has fallen ill and Klar has to take his place.","The end of the book is very different from the beginning,"
erotica,"To be, or not to be, that is the question. And the answer is... yes",King,Michael Alder,Mary,"For her part, Mary is content with the notion that she will find the right man, that she can love and be loved and be happy and be free, but that in the end, she'll just have to accept that she is an alcoholic. She just has to find the answer to that question before she's too old to keep drinking. But she knows she isn't alone in this question. The question is asked of her by her peers.","For those who wish to make the most of their lives, to pursue and experience whatever they wish, to make themselves and the world around them the very best that they can be."
literary fiction,The only problem with the house was the people.,Kerala,Arjun,Hindustani,"Arjun and his brother, Jai, are the sons of a farmer from the southern Kerala town of Kottayam. They grow up together, learn to read, and attend the same public school as their friend, the girl whose name they have never learned. As Jai gets a job as a driver, Arjun finds his way to the capital, and soon after that, to the city of Thiruvananthapuram, to attend college.","In the beginning it was a big problem, the problem of finding food for the whole household,"
the great american novel,"The American Dream, or the Dream of America",South Sudan,Mason Davis,Zelena,"It is 1884 and Mason Davis is the only son of a wealthy South Carolina family. He is sent to school in the village of Lincolnton where he meets the daughter of a local cotton planter, Zelena Davis. She is the daughter from the slave mother's side, and she is raised on the plantation of her father, who is a slave owner.","In 1886, Mason's father is killed in a robbery. This is the beginning of a chain of events that leads to the Civil War and the end of slavery in the United States."
mystery,The Man Who Could See.,Afghanistan,Drew,Kali,"The first day of school in Kabul is a very strange one for Drew and his friend Kali. On the way to school, the two friends are stopped by a group of terrorists. When the terrorists start shooting, the boys escape, but they are then caught and taken to the terrorists' headquarters. At the headquarters, Drew and the other boys are told they are being punished for being girls. They are sent to a special school where they are kept in isolation for their entire lives.","The end of the world is here, and it is in Kabul."
the great american novel,No one is safe from the government,North,Johann,Mary Ann,"Johann and Mary are a married couple who are about to be evicted by their landlord because they haven't paid the rent for three years. One day, Mary notices a suspicious woman looking over her house and decides to take a photo of the woman and the house. The woman appears to be Johann, and as the night progresses, she appears to Mary too and the two begin an affair.","A good man, who had been faithful to his wife, found himself in danger"
novel for kids,A child's best friend. A dog that is always loyal and gentle.,South Sudan,Mason Davis,Zelena,"Mason and Zelenia Davis are best friends. Their dog is always obedient and loyal, but he is not friendly. One day, Mason accidentally lets Zelenya go on a journey on a boat, where they meet the people from the village and become friends. But what the children don't realize is that Zelenay is not a human child, but the offspring of a dog. And when the village boy sees a strange dog, he falls in love with the little dog.",Mason and Zeleny are now friends. They are together again. They love each other. They always have.
mystery,One day at a time.,Ireland,Paul,Sarah Elizabeth Haddock,"In 1881, a series of robberies at a branch of the Bank of Ireland, the largest in the world, began. A gang of men dressed as Irish laborers had taken nearly 400,000 pounds out of the bank on bogus loans. The robbery was only solved after a man with a large moustache arrived from Dublin. His description matched that of Paul Haddock.",He's a detective. What would he do?
science fiction,It was just another day on the job.,Northwest Territories,Elliott,Mary,"It's just another morning. Elliott and a colleague drive down a road near Edmonton that seems to go on forever. A large truck comes rolling down the road at full speed. It is too late to stop and run, and the driver stops just in front of them, blocking their path. The two men are stunned to see that the truck's driver is none other than their old colleague, Mary. Mary is clearly distraught. Her face is bruised and swollen and her right eye is swollen shut.",It's just one more day at work for Elliott and his colleague as they make their way down the highway.
empathy,"He was a tall, thin man with glasses, who had a dark complexion and a full head of hair.",United Arab Emirates,Yemen,Binyam Hussein,"Yemeni national Binyamin Hussein was on his way to visit family and friends in the United Arab Republic when the Al-Qaeda leader Ayman al-Zawahiri called, asking for a meeting. Binyamen Hussein, a tall man with a full black head of wavy, dark hair, listened to the terrorist leader in his earphones. He knew who he was, but he didn't care.","In the end, Binyamina Hussein was kidnapped and killed."
aeroplane,Aircraft engines don't have to break on the way down.,Boulder,John,Amber,"In the early 1980s, Amber and John were working at the Boulder Aviation Laboratory on the F-15, a stealth aircraft which was used by the US Navy. On a recent night, John, now a captain, had just come back from a mission and was on the bridge, when he and Amber went to bed. The next morning, he awoke to find Amber sleeping with her head on his shoulder.","The night air is warm and wet. It makes his cock go hard, even through his jeans, but John's been sleeping with the window down all night."
dystopian,The future is now.,Spain,Ivan,Diana Sanchez,"The world is falling into the sea. A war is raging with the United States. There is no hope for survival. No one is safe. A small group of rebels stand up against the government and the military to keep the country alive. Ivan and his wife Diana, who have just moved to Spain to raise a family, decide to fight back. Together they will take their fight to the people who have forgotten how to make their own choices. To save a future that is slipping away.","Ivan and Diana, the couple that would become the Sons of Freedom in the novel, are captured by government forces and imprisoned in a maximum security prison."
aeroplane,Aircraft are the most efficient forms of mass transport available in the 21st century,San Francisco,Mike,Gina Miller,"Mike Miller, a young airline pilot, is having a miserable time at his job in San Diego. The problem is, he is the only one who can't afford to live near the beach, the best time to fly. Gina Miller is on the other hand, a wealthy socialite who has her own private jet. This sets a nasty battle between the two friends that only gets worse with the arrival of a mysterious new plane.","The final battle will take place in a small, quiet town in upstate New York"
aeroplane,"The pilot, as a rule, always takes the shortest route home.",King,Josiah,Hilda,"Josiah and his wife Hilda had only been married for a few months when he decided to go to London to try to find work. While there he met a man named James, and they fell in love. They married, and after a few weeks their first child was born. In London they met a couple of widowers, James and Mary. They lived in a small apartment with only one bedroom, and had two small children.","Josiah and Mary's first child, an only child, is about to be born. Josiah decides to take a trip back to the country of his birth in order to visit his father and visit his mother."
dying earth,"Earthquake, Tsunami, Tsavo.",New York City,Michael Peltz,Amber,"Amber and Michael Piletz are about to meet the mother of the man who has been missing for several weeks and she is going to ask Michael to help her out. When the two finally meet, she tells Michael that she has some good news and then gives him a note, which Michael puts under Michael's pillow.",It was the end. It's the end.
mystery,A man can be so proud of himself that he will do anything.,Majuro,Baron Roy,Faye,"Roy's life was in ruins. In an attempt to salvage his reputation, Roy decided to become the new hero of the world, the strongest, fastest, and most heroic of them all—Baron Roy! And now, thanks to Faye, the two of them will make a beautiful family.
Majuro. It is an old city in the southwest of the island of Jigolaths.",The time of heroes is coming to an end.
fantasy,The world is in the hands of a madman.,Fayette County,Joe,Jill T,"Joe and Jill go to bed early to get up early, then they walk to the river to catch the boat and head home. As they are walking, Joe spots a man standing in the river, wearing a red suit, holding a knife. Joe jumps back but Jill does not, and he pulls the knife out and stabs her in the chest. Joe tries to run but is knocked down by the knife. Jill falls to the ground and the knife goes in her neck.","The sun shines, the river flows by, the sky is clear and clear."
empathy,"There is nothing more important than being true to yourself, no matter what others may think.",New York,Buck,Jill,"The two friends are out of town on a trip when Jill, a freelance photographer who has just learned of the death of her husband, decides to spend the weekend at a nearby cabin, where she will see Buck and his new wife, Judy. On her way there, Jill runs into a man and woman in need of help and, after taking them in, she helps them in return.","The end is a wonderful thing. It's like the sun is setting, when it's actually the sunset."
fantasy,The world is in the hands of a madman.,Dalmani,Yaakov,Sofiya,"The two sisters are not the only ones to fall prey to a powerful sorcerer named Yaakov. Sofiyan, a woman who can wield magic and has always lived a sheltered life, is also taken by him. The only way to defeat him is for her to be reunited with her long-lost sister, Yaakov's daughter, who has been separated from her for over a thousand years.","Heaven has chosen us, it's time to return."
drama,The end always justifies the means.,Fayette County,Herschel Walker,Polly,"On a rainy Sunday afternoon in October of 1979, Herschel and Polly Walker were driving back to Fayetteville from a friend's house in Fincastle, Arkansas. Herschel was a senior in college, and Polly was a freshman in high school. They decided to stop at a friend and her boyfriend's house for the weekend.
When they got there, they noticed the house was empty, and then the front door to the home opened.","When she walked in, she was surprised to find her friend's boyfriend, Hershel Walker, and his beautiful young daughter, Polly, standing there."
the dark forest,"When the sun goes down, there is only one thing that can be done. Kill the sun.",Cotton County,Ralph,Tessa,"Ralph is a young and determined farmer, who is about to be released from a psychiatric hospital where he spent the last year of his life. He has had a terrible fall, lost his wife and son, and now must come to terms with the fact that the entire world is now against him. Ralph is the most dangerous man on the farm, and only his loyal and dutiful wife Tessa, a young, beautiful and brilliant lawyer, can possibly help him survive.","Tessa has just finished giving her closing arguments and is walking back to her car when she hears a man's voice from behind, calling her "
biblical epic,What was it like?,South Sudan,John H. Roberts,Aisha,"John H. and Aishah Roberts were in the midst of their own adventure. When they went out to the field, they were accompanied by several young soldiers, the most important of whom was John. It was a typical morning in the front line. John, who had been raised with a father who served for many years as a US Marine, and Aisah, who was from the same area, joined their leader.","After the sun had risen, and they had been on their feet for a while, John came up and said, "
cthulhu,The End of All Things,North,John,Dawn,"The end of all things has become a cliché in stories set in the far future, but this time it is the end of a human race, and the last of the humans have just discovered they have been engineered as the last line of defense in an alien invasion. But their technology is far superior to that of the aliens, and their only hope is for John and his daughter Dawn to escape from a strange and distant world.","The end of everything. It was like the end, only it didn't end at all, it was just the beginning."
cthulhu,the first sign of the apocalypse was the disappearance of the last of the gods,Lisbon,Jose,Dorothy,"In the years since the last apocalypse, the city of Lisbon has continued to flourish. But the god-like Jose Barreto has grown weary of the mundane world of men, and has returned to his home world to seek out a new purpose. One day, a young girl, Dorothy, and Jose Barrotos best friend, Miguel, are travelling through the mountains when they come across a huge tent in the mountains with a strange object in it.",There was a flash of lightning and a sound like distant thunder.
scifi,A man is a man and no one can change that,Kathmandu,Cory,Chhavi,"They found a young man named Chhavir with two holes in his skull. They took him to the medical school, but the doctors said they could not fix him. Then, after a year in a mental asylum, Chhavis died.
Cory and Chavir had been friends for years. They were both a bit of a troublemaker when they were younger. Chhava was the older of the two. Cory wanted to join the Army when he was younger.","Cory has a new life with a family and a girlfriend, and Chahavi has a wife and daughter, but she does not let herself forget Cory's gift."
literary fiction,A young boy is thrown in a labyrinth and has to solve his own murders.,Pensacola,Boyd Carter,Jane Elizabeth Ann Richards,"Boyd Carter is a boy in a town that doesn't exist. He has no home, no friends and is just trying to get through the day. On his journey, he meets Jane Richards. He is intrigued by her and decides to follow her to her mysterious labyrinth. When they arrive, he finds that she and her sister, Lucy, are the only living things within the labyrinth. As they walk through its halls, they discover more than they bargained for.","At last they came to the end of the labyrinth, and there stood before them a vast circular chamber. There was a small door at one end of it. It opened into a large chamber, and beyond that a huge circular hall."
cinema,"The man, a hero, is an ordinary man.",Palo Alto,Juan Carlos Sanchez,Dani,"Juan Carlos and Dani were teenagers living in a small town in Southern California when a car accident left them in a coma. The doctors told the boys their lives would be over within weeks, but they defied all odds. Now 18 years old, Juan Carlos is working at a call center in the US and Dani lives at home in Palo Altana with her parents.","A man, an ordinary person, is given a chance to live, a chance of living."
biblical epic,Never underestimate the power of the Bible.,Pensacola,George R. Brown,Jane Elizabeth Ann Richards,"It's the beginning of a beautiful friendship in Pensacona when young George R Brown, the son of the local mayor, meets a beautiful woman, Jane Ann Richards, in an inn. When George finds out her father is the local Sheriff and is planning to put George in jail, he convinces Jane to go with him. However, the Sheriff has plans of his own that will end their friendship.","The end of the book is very different from the beginning,"
the dark forest,Never trust a person with a bad attitude!,Lisbon,Jose,Dorothy,"Jose, a young boy, and Dorothy, a little girl, are enjoying their day out together. When they arrive at the market, Jose's uncle, Jose, and a friend arrive and start a loud quarrel. A few days later Jose and his family are attacked by a group of thieves, but Jose fights them off. Dorothy comes to the rescue, but is also attacked. Jose and the others decide to go on a treasure hunt to find the treasure that Dorothy stole.","Once upon a time, there was a little boy named Jose. One day he went to his uncle's house. While he was there, his uncle asked him a question. Jose's answer was something along the lines of "
fiction,Never trust a man who is not smiling.,California,John Smith,Nanette,"John Smith was a lonely man. When he was a kid his parents left him in the care of his brother, but he didn't care about anyone else and he was only good at playing video games. But that was before he met Nanette. She was a beautiful girl with long brown hair and blue eyes and she had blue and red piercings in her ears. She lived in the same town as Nanette, and they had a good friendship.","After he was done playing, John left and returned home."
novel for kids,"Children should be encouraged to read from a variety of authors,",California,Bob,Jane,"Bob and Jane were two teenagers living in a small California city when they fell in love with each other. They decided to marry, and they were married in front of the entire town, but after a week of marriage, a horrible incident occurred. During their honeymoon, the couple's son was kidnapped and they went looking for him. When they finally found him, the boy was dead and their son was badly injured.",A child is a gift from God to be cherished and loved.
the great american novel,"a series of ornaments, decorations, or decorations as distinguished from a picture",North Queensland,John,Amber,John and Amber's wedding was the highlight of the year for Amber and she would have loved to get married to a man that could be considered her boyfriend and could be a good friend and maybe even marry her. The only problem was that she was not able to have any children and she never could get pregnant so she would just marry a man she didn't know and get pregnant with another man's child. She hated her life and was very bitter.,John and Amber will meet in the cemetery at the end of the book when John's grave marker is raised to heaven by his friends and family. Then the couple will be back together forever.
dark fantasy,The specter of the future is in the telling,South Sudan,Benjamin,Aisha,"The young Benjamin and her sister Aisha are caught in the middle of a civil war between two different tribes. The young Aisha is kidnapped by a brutal leader of the opposing tribe, who wants the two of them to serve him in his upcoming battle with the other tribe. The two are forced to flee together into the neighboring tribe, where they hope to avoid further war.","The war that had lasted for many years was over, but the memory of it still lingered in the air"
bodyscapes,A man who has spent all his money on drugs goes to prison for a long time.,Washoe County,Tom Smith,Aunt,"Tom Smith has spent the last three years in and out of prison. He has spent a lot of time in solitary confinement, but that has been a small price to pay for his crimes. His life is a mess. His mother is an alcoholic and has lost her home to foreclosure. His brother, who has always been close to Tom, has died of cancer. He is living with his aunt, who is a drug user, and she is addicted to drugs.","Tom and Aunt get a job in a bar, but when the owner, a violent drug dealer and the father of one of Aunt's sons is murdered, it's too late. Tom and Aunt are the only people left alive at the bar."
aeroplane,They can land a plane safely.,Ireland,Tom Fagan,Molly,"When Tom Fagen and his sister Molly Fagan set off from Ireland in a small Cessna airplane for a five-week visit to New York, it was a great adventure. As they flew high above the Atlantic, they were surprised by a thunderstorm. When it cleared, they saw that there was a small town a little way out in the countryside that appeared to be entirely abandoned.",They landed on the runway. Everyone was waiting. And there were no airplanes anywhere...except the ones Tom and Molly had rented.
mystery,It can't be that big a deal!,Ireland,Tom Fagan,Jane,"It's the morning of the wedding of the year. It's the day after the wedding. It is the night before the wedding, and it is the very last day of the marriage. All of that is a lie. The marriage is not a thing. The wedding is just a memory. And it's a terrible one, for both Tom and Jane. But now that they're alone, and everything's over, they both realize that it was their greatest mistake. They both know the truth.",It's the night of the funeral for the wedding.
dystopian,"A man, born to a noble family, becomes an outcast and a vagrant in an underground city.",Northwest Territories,Elliott,Molly,"The man, Elliott, lives in a small town, surrounded by trees and flowers. He is an average student who loves reading and music. He's a good friend of Molly. One day he sees her playing with an older boy, a stranger she barely knows, and he doesn't understand why. She leaves the boy, who is a stranger to her, and she runs away to an underground, underground city. She meets a girl, Molly, and their lives intertwine.","It's a hard life, but he had been born into it, and there was nothing he could do about it, not anymore. He felt a coldness creep into the back of his mind. He couldn't believe that he was a murderer."
the dark forest,The forest was quiet.,Fayette County,Randy Jones,Polly,"When a group of teenagers in the woods learn of a deadly monster, they decide to investigate.
In the woods
They all went off to investigate. And in the end, Polly had to be rescued because she and Randy were being hunted by an old man with a huge club that had a huge blade on the end.",The woods was quiet and the only sounds were the rustle of leaves as they walked and the crunch of gravel under their feet.
science fiction,What makes a hero?,Kathmandu,Cory,Titia,"Cory and Titania have been travelling around the world as tourists. They have made it all the way to Kathmandua, Tibet, and Nepal to experience the various cultures there. The most beautiful city they had seen was Kathmandula.
They arrived at the city on a Sunday. Titania was really excited. Cory was not really in the mood to visit a new place. So she decided to go with her sister.","The sun came out, and it was like a new day for Titania, and she was happy again. The girls went to a local temple to do some rituals, and Cory went to see the famous Shiva temple. It was a beautiful day."
aeroplane,"The pilot, as a rule, always takes the shortest route home.",New York City,John Smith,Mary Anne,"A young girl, Mary Ann Smith, lives with her mother, Mrs. James Smith, and her uncle, Dr. John Smith. Her father died when she was a baby and her mother is living in London. Her aunt is the executrix of her will. Her brother, Dr John Smith, is an American pilot, and she has been visiting him for the last two weeks. Mary Anne Smith is a great admirer of him, and he, in turn, loves her.","It was just about midday when the aircraft came into view. They were going over the Isle of Wight. The pilot, at the controls, was John Smith."
cinema,"The Doctor must leave London and take on a new companion, but the time is right.",North Georgia,John Smith,Hannah Jones,"In 1843, the English Doctor, John Smith, and his companion, Hannah Jones, are called to investigate the mysterious disappearance of a man called John Jones. They have little hope of finding him alive, but after a series of unexplained deaths, they begin to suspect that the murders may be connected with a conspiracy to keep London under the thumb of a powerful group of criminals known as the Ruling Families.","Heaven knows how many people have been killed, but they keep coming, because there's a reason to do it."
dying earth,"Earthquake, Tsunami, Tsavo.",San Francisco,David Lassen,Ruth,"As they walk through the city, David and Ruth are suddenly drawn into a conspiracy involving a new type of seismic machine and an old family. After a series of mysterious events that shake the city and leave David and his family on the brink of disaster, David finds himself in a desperate race to save them, even as the mysterious machine and its potential to bring about an unstoppable tidal wave begins to wreak havoc.","David has finally discovered the secret of the machine, but can it save the city?"
